==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 09, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Silicon.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
 5.49999 eV    7.859E-03  3.584E-03       4 A         9 A         6 A   
 5.99999 eV    8.209E-03  3.727E-03       4 A         9 A         7 A   
 6.49999 eV    8.544E-03  3.862E-03       5 A        10 A         7 A   
 6.99999 eV    8.866E-03  3.989E-03       5 A        10 A         7 A   
 7.99999 eV    9.478E-03  4.225E-03       5 A        11 A         8 A   
 8.99999 eV    1.005E-02  4.440E-03       6 A        11 A         8 A   
 9.99999 eV    1.060E-02  4.638E-03       6 A        12 A         8 A   
 10.9999 eV    1.111E-02  4.821E-03       6 A        13 A         9 A   
 11.9999 eV    1.161E-02  4.991E-03       7 A        13 A         9 A   
 12.9999 eV    1.208E-02  5.150E-03       7 A        14 A        10 A   
 13.9999 eV    1.254E-02  5.299E-03       7 A        14 A        10 A   
 14.9999 eV    1.298E-02  5.440E-03       7 A        15 A        10 A   
 15.9999 eV    1.340E-02  5.573E-03       8 A        15 A        11 A   
 16.9999 eV    1.382E-02  5.699E-03       8 A        16 A        11 A   
 17.9999 eV    1.422E-02  5.819E-03       8 A        16 A        12 A   
 19.9999 eV    1.499E-02  6.043E-03       9 A        17 A        12 A   
 22.4999 eV    1.590E-02  6.296E-03      10 A        18 A        13 A   
 24.9999 eV    1.676E-02  6.524E-03      10 A        19 A        14 A   
 27.4999 eV    1.757E-02  6.733E-03      11 A        20 A        15 A   
 29.9999 eV    1.835E-02  6.923E-03      12 A        21 A        15 A   
 32.4999 eV    1.910E-02  7.099E-03      12 A        22 A        16 A   
 34.9999 eV    1.983E-02  7.262E-03      13 A        23 A        17 A   
 37.4999 eV    2.052E-02  7.414E-03      13 A        24 A        17 A   
 39.9999 eV    2.119E-02  7.556E-03      14 A        25 A        18 A   
 44.9999 eV    2.248E-02  7.814E-03      15 A        27 A        19 A   
 49.9999 eV    2.370E-02  8.042E-03      16 A        28 A        20 A   
 54.9999 eV    2.485E-02  8.247E-03      17 A        30 A        22 A   
 59.9999 eV    2.596E-02  8.432E-03      18 A        31 A        23 A   
 64.9999 eV    2.702E-02  8.599E-03      20 A        33 A        24 A   
 69.9999 eV    2.804E-02  8.752E-03      21 A        34 A        25 A   
 79.9999 eV    2.997E-02  9.022E-03      23 A        37 A        27 A   
 89.9999 eV    3.179E-02  9.251E-03      25 A        39 A        29 A   
 99.9999 eV    3.351E-02  9.449E-03      27 A        42 A        31 A   
     110 eV    3.515E-02  9.622E-03      29 A        44 A        32 A   
    120 eV    3.671E-02  9.773E-03      31 A        47 A        34 A   
    130 eV    3.821E-02  9.906E-03      32 A        49 A        36 A   
 139.999 eV    3.965E-02  1.002E-02      34 A        51 A        38 A   
 149.999 eV    4.104E-02  1.013E-02      36 A        53 A        39 A   
 159.999 eV    4.239E-02  1.022E-02      38 A        55 A        41 A   
 169.999 eV    4.369E-02  1.031E-02      40 A        57 A        42 A   
 179.999 eV    4.496E-02  1.038E-02      42 A        59 A        44 A   
 199.999 eV    4.739E-02  1.051E-02      45 A        63 A        47 A   
 224.999 eV    5.027E-02  1.064E-02      50 A        68 A        50 A   
 249.999 eV    5.299E-02  1.073E-02      54 A        72 A        54 A   
 274.999 eV    5.557E-02  1.080E-02      59 A        77 A        57 A   
 299.999 eV    5.804E-02  1.086E-02      63 A        81 A        60 A   
 324.999 eV    6.041E-02  1.090E-02      67 A        85 A        63 A   
 349.999 eV    6.269E-02  1.092E-02      71 A        89 A        66 A   
 374.999 eV    6.489E-02  1.094E-02      76 A        93 A        69 A   
 399.999 eV    6.702E-02  1.095E-02      80 A        96 A        72 A   
 449.999 eV    7.109E-02  1.094E-02      88 A       103 A        78 A   
 499.999 eV    7.493E-02  1.092E-02      97 A       110 A        83 A   
 549.999 eV    7.859E-02  1.087E-02     105 A       117 A        89 A   
 599.999 eV    8.209E-02  1.082E-02     113 A       123 A        94 A   
 649.999 eV    8.544E-02  1.076E-02     121 A       129 A        98 A   
 699.999 eV    8.866E-02  1.069E-02     129 A       135 A       103 A   
 799.999 eV    9.478E-02  1.054E-02     145 A       146 A       112 A   
 899.999 eV    1.005E-01  1.038E-02     161 A       157 A       121 A   
 999.999 eV    1.060E-01  1.021E-02     177 A       167 A       130 A   
   1.10E3 keV   1.111E-01  1.005E-02     193 A       177 A       138 A   
   1.20E3 keV   1.161E-01  9.880E-03     208 A       186 A       145 A   
   1.30E3 keV   1.208E-01  9.717E-03     224 A       195 A       153 A   
   1.40E3 keV   1.254E-01  9.558E-03     239 A       203 A       160 A   
   1.50E3 keV   1.298E-01  9.402E-03     255 A       212 A       167 A   
   1.60E3 keV   1.340E-01  9.251E-03     270 A       219 A       174 A   
   1.70E3 keV   1.382E-01  9.104E-03     285 A       227 A       181 A   
   1.80E3 keV   1.422E-01  8.962E-03     300 A       234 A       187 A   
   2.00E3 keV   1.499E-01  8.690E-03     330 A       248 A       199 A   
   2.25E3 keV   1.582E-01  8.374E-03     366 A       264 A       214 A   
   2.50E3 keV   1.662E-01  8.083E-03     403 A       280 A       228 A   
   2.75E3 keV   1.741E-01  7.813E-03     439 A       294 A       242 A   
   3.00E3 keV   1.816E-01  7.563E-03     474 A       307 A       254 A   
   3.25E3 keV   1.889E-01  7.331E-03     509 A       320 A       266 A   
   3.50E3 keV   1.958E-01  7.115E-03     544 A       332 A       278 A   
   3.75E3 keV   2.025E-01  6.914E-03     578 A       343 A       289 A   
   4.00E3 keV   2.088E-01  6.725E-03     612 A       354 A       300 A   
   4.50E3 keV   2.206E-01  6.382E-03     678 A       373 A       321 A   
   5.00E3 keV   2.314E-01  6.078E-03     743 A       392 A       340 A   
   5.50E3 keV   2.412E-01  5.806E-03     807 A       408 A       358 A   
   6.00E3 keV   2.503E-01  5.561E-03     870 A       424 A       375 A   
   6.50E3 keV   2.589E-01  5.340E-03     932 A       439 A       391 A   
   7.00E3 keV   2.671E-01  5.138E-03     994 A       452 A       407 A   
   8.00E3 keV   2.829E-01  4.784E-03    1113 A       477 A       436 A   
   9.00E3 keV   2.981E-01  4.482E-03    1229 A       499 A       463 A   
  10.00E3 keV   3.131E-01  4.222E-03    1342 A       519 A       488 A   
  11.00E3 keV   3.277E-01  3.995E-03    1452 A       538 A       511 A   
  12.00E3 keV   3.419E-01  3.794E-03    1558 A       554 A       532 A   
  13.00E3 keV   3.556E-01  3.615E-03    1662 A       569 A       552 A   
  14.00E3 keV   3.688E-01  3.455E-03    1762 A       583 A       571 A   
  15.00E3 keV   3.813E-01  3.310E-03    1861 A       596 A       589 A   
  16.00E3 keV   3.933E-01  3.179E-03    1957 A       608 A       605 A   
  17.00E3 keV   4.046E-01  3.059E-03    2051 A       619 A       621 A   
  18.00E3 keV   4.152E-01  2.949E-03    2143 A       629 A       636 A   
  20.00E3 keV   4.346E-01  2.755E-03    2323 A       648 A       664 A   
  22.50E3 keV   4.556E-01  2.549E-03    2540 A       669 A       696 A   
  25.00E3 keV   4.732E-01  2.375E-03    2751 A       688 A       726 A   
  27.50E3 keV   4.878E-01  2.226E-03    2956 A       704 A       752 A   
  30.00E3 keV   4.999E-01  2.097E-03    3157 A       720 A       778 A   
  32.50E3 keV   5.097E-01  1.984E-03    3355 A       734 A       801 A   
  35.00E3 keV   5.177E-01  1.883E-03    3550 A       747 A       824 A   
  37.50E3 keV   5.240E-01  1.794E-03    3744 A       759 A       845 A   
  40.00E3 keV   5.289E-01  1.713E-03    3937 A       771 A       866 A   
  45.00E3 keV   5.352E-01  1.575E-03    4320 A       793 A       905 A   
  50.00E3 keV   5.380E-01  1.459E-03    4701 A       814 A       942 A   
  55.00E3 keV   5.382E-01  1.360E-03    5084 A       833 A       977 A   
  60.00E3 keV   5.365E-01  1.276E-03    5468 A       852 A      1011 A   
  65.00E3 keV   5.334E-01  1.202E-03    5855 A       869 A      1044 A   
  70.00E3 keV   5.293E-01  1.137E-03    6246 A       886 A      1077 A   
  80.00E3 keV   5.192E-01  1.028E-03    7041 A       922 A      1140 A   
  90.00E3 keV   5.077E-01  9.403E-04    7856 A       957 A      1203 A   
 100.00E3 keV   4.957E-01  8.673E-04    8692 A       991 A      1265 A   
 110.00E3 keV   4.836E-01  8.057E-04    9550 A      1024 A      1326 A   
 120.00E3 keV   4.717E-01  7.531E-04    1.04 um     1058 A      1388 A   
 130.00E3 keV   4.603E-01  7.075E-04    1.13 um     1091 A      1451 A   
 140.00E3 keV   4.492E-01  6.675E-04    1.23 um     1124 A      1513 A   
 150.00E3 keV   4.387E-01  6.322E-04    1.32 um     1158 A      1577 A   
 160.00E3 keV   4.286E-01  6.008E-04    1.42 um     1192 A      1641 A   
 170.00E3 keV   4.190E-01  5.726E-04    1.52 um     1226 A      1706 A   
 180.00E3 keV   4.099E-01  5.471E-04    1.62 um     1261 A      1772 A   
 200.00E3 keV   3.930E-01  5.030E-04    1.83 um     1347 A      1907 A   
 225.00E3 keV   3.741E-01  4.576E-04    2.11 um     1466 A      2081 A   
 250.00E3 keV   3.573E-01  4.203E-04    2.40 um     1587 A      2261 A   
 275.00E3 keV   3.423E-01  3.890E-04    2.70 um     1710 A      2447 A   
 300.00E3 keV   3.288E-01  3.624E-04    3.02 um     1835 A      2638 A   
 325.00E3 keV   3.166E-01  3.395E-04    3.35 um     1961 A      2836 A   
 350.00E3 keV   3.055E-01  3.194E-04    3.69 um     2089 A      3039 A   
 375.00E3 keV   2.954E-01  3.018E-04    4.05 um     2219 A      3248 A   
 400.00E3 keV   2.861E-01  2.862E-04    4.41 um     2351 A      3463 A   
 450.00E3 keV   2.696E-01  2.596E-04    5.18 um     2727 A      3908 A   
 500.00E3 keV   2.554E-01  2.379E-04    5.99 um     3098 A      4373 A   
 550.00E3 keV   2.430E-01  2.197E-04    6.85 um     3468 A      4857 A   
 600.00E3 keV   2.321E-01  2.043E-04    7.75 um     3838 A      5360 A   
 650.00E3 keV   2.224E-01  1.911E-04    8.69 um     4209 A      5881 A   
 700.00E3 keV   2.137E-01  1.795E-04    9.67 um     4582 A      6418 A   
 800.00E3 keV   1.986E-01  1.604E-04   11.74 um     5719 A      7542 A   
 900.00E3 keV   1.861E-01  1.452E-04   13.97 um     6806 A      8728 A   
   1.00E6 MeV   1.755E-01  1.328E-04   16.33 um     7871 A      9972 A   
   1.10E6 MeV   1.663E-01  1.225E-04   18.84 um     8926 A      1.13 um  
   1.20E6 MeV   1.571E-01  1.137E-04   21.48 um     9986 A      1.26 um  
   1.30E6 MeV   1.492E-01  1.062E-04   24.28 um     1.11 um     1.40 um  
   1.40E6 MeV   1.423E-01  9.965E-05   27.22 um     1.21 um     1.55 um  
   1.50E6 MeV   1.361E-01  9.392E-05   30.29 um     1.32 um     1.71 um  
   1.60E6 MeV   1.305E-01  8.886E-05   33.50 um     1.44 um     1.87 um  
   1.70E6 MeV   1.253E-01  8.434E-05   36.85 um     1.55 um     2.03 um  
   1.80E6 MeV   1.207E-01  8.029E-05   40.33 um     1.66 um     2.20 um  
   2.00E6 MeV   1.124E-01  7.331E-05   47.69 um     2.04 um     2.56 um  
   2.25E6 MeV   1.037E-01  6.620E-05   57.61 um     2.56 um     3.03 um  
   2.50E6 MeV   9.644E-02  6.042E-05   68.32 um     3.07 um     3.54 um  
   2.75E6 MeV   9.023E-02  5.562E-05   79.80 um     3.56 um     4.08 um  
   3.00E6 MeV   8.486E-02  5.156E-05   92.05 um     4.06 um     4.66 um  
   3.25E6 MeV   8.018E-02  4.808E-05  105.03 um     4.56 um     5.26 um  
   3.50E6 MeV   7.604E-02  4.507E-05  118.76 um     5.07 um     5.89 um  
   3.75E6 MeV   7.236E-02  4.243E-05  133.20 um     5.59 um     6.55 um  
   4.00E6 MeV   6.906E-02  4.010E-05  148.36 um     6.11 um     7.24 um  
   4.50E6 MeV   6.338E-02  3.616E-05  180.77 um     7.86 um     8.71 um  
   5.00E6 MeV   5.866E-02  3.297E-05  215.93 um     9.54 um    10.29 um  
   5.50E6 MeV   5.466E-02  3.031E-05  253.80 um    11.19 um    11.97 um  
   6.00E6 MeV   5.124E-02  2.807E-05  294.32 um    12.84 um    13.76 um  
   6.50E6 MeV   4.826E-02  2.616E-05  337.45 um    14.50 um    15.66 um  
   7.00E6 MeV   4.564E-02  2.450E-05  383.14 um    16.17 um    17.66 um  
   8.00E6 MeV   4.125E-02  2.177E-05  482.01 um    21.92 um    21.95 um  
   9.00E6 MeV   3.771E-02  1.961E-05  590.78 um    27.36 um    26.64 um  
  10.00E6 MeV   3.479E-02  1.786E-05  709.23 um    32.70 um    31.70 um  
  11.00E6 MeV   3.233E-02  1.641E-05  837.16 um    38.04 um    37.14 um  
  12.00E6 MeV   3.023E-02  1.518E-05  974.42 um    43.42 um    42.94 um  
  13.00E6 MeV   2.841E-02  1.414E-05    1.12 mm    48.89 um    49.09 um  
  14.00E6 MeV   2.682E-02  1.323E-05    1.28 mm    54.44 um    55.59 um  
  15.00E6 MeV   2.542E-02  1.244E-05    1.44 mm    60.08 um    62.44 um  
  16.00E6 MeV   2.417E-02  1.174E-05    1.61 mm    65.83 um    69.62 um  
  17.00E6 MeV   2.305E-02  1.112E-05    1.80 mm    71.69 um    77.13 um  
  18.00E6 MeV   2.204E-02  1.057E-05    1.99 mm    77.65 um    84.97 um  
  20.00E6 MeV   2.029E-02  9.614E-06    2.39 mm    98.57 um   101.63 um  
  22.50E6 MeV   1.850E-02  8.650E-06    2.95 mm   128.36 um   124.21 um  
  25.00E6 MeV   1.703E-02  7.868E-06    3.55 mm   156.85 um   148.71 um  
  27.50E6 MeV   1.580E-02  7.221E-06    4.20 mm   184.92 um   175.06 um  
  30.00E6 MeV   1.476E-02  6.677E-06    4.91 mm   212.98 um   203.23 um  
  32.50E6 MeV   1.386E-02  6.212E-06    5.66 mm   241.23 um   233.17 um  
  35.00E6 MeV   1.307E-02  5.810E-06    6.46 mm   269.80 um   264.83 um  
  37.50E6 MeV   1.238E-02  5.459E-06    7.30 mm   298.76 um   298.18 um  
  40.00E6 MeV   1.177E-02  5.150E-06    8.19 mm   328.14 um   333.19 um  
  45.00E6 MeV   1.074E-02  4.629E-06   10.10 mm   432.32 um   408.06 um  
  50.00E6 MeV   9.895E-03  4.208E-06   12.18 mm   530.92 um   489.19 um  
  55.00E6 MeV   9.191E-03  3.859E-06   14.43 mm   627.42 um   576.34 um  
  60.00E6 MeV   8.596E-03  3.566E-06   16.85 mm   723.38 um   669.30 um  
  65.00E6 MeV   8.085E-03  3.316E-06   19.42 mm   819.57 um   767.89 um  
  70.00E6 MeV   7.641E-03  3.100E-06   22.16 mm   916.43 um   871.91 um  
  80.00E6 MeV   6.909E-03  2.746E-06   28.07 mm     1.26 mm     1.10 mm  
  90.00E6 MeV   6.328E-03  2.467E-06   34.56 mm     1.58 mm     1.34 mm  
 100.00E6 MeV   5.857E-03  2.241E-06   41.62 mm     1.89 mm     1.60 mm  
 110.00E6 MeV   5.465E-03  2.054E-06   49.21 mm     2.20 mm     1.88 mm  
 120.00E6 MeV   5.135E-03  1.897E-06   57.32 mm     2.50 mm     2.18 mm  
 130.00E6 MeV   4.853E-03  1.763E-06   65.93 mm     2.81 mm     2.49 mm  
 140.00E6 MeV   4.609E-03  1.648E-06   75.01 mm     3.12 mm     2.82 mm  
 150.00E6 MeV   4.396E-03  1.547E-06   84.55 mm     3.43 mm     3.16 mm  
 160.00E6 MeV   4.208E-03  1.458E-06   94.54 mm     3.74 mm     3.52 mm  
 170.00E6 MeV   4.042E-03  1.380E-06  104.96 mm     4.05 mm     3.88 mm  
 180.00E6 MeV   3.892E-03  1.309E-06  115.79 mm     4.37 mm     4.26 mm  
 200.00E6 MeV   3.637E-03  1.189E-06  138.63 mm     5.50 mm     5.06 mm  
 225.00E6 MeV   3.380E-03  1.067E-06  169.27 mm     7.08 mm     6.11 mm  
 250.00E6 MeV   3.173E-03  9.685E-07  202.08 mm     8.55 mm     7.22 mm  
 275.00E6 MeV   3.002E-03  8.873E-07  236.90 mm     9.95 mm     8.39 mm  
 300.00E6 MeV   2.860E-03  8.190E-07  273.57 mm    11.31 mm     9.59 mm  
 325.00E6 MeV   2.739E-03  7.609E-07  311.96 mm    12.64 mm    10.84 mm  
 350.00E6 MeV   2.636E-03  7.107E-07  351.95 mm    13.95 mm    12.13 mm  
 375.00E6 MeV   2.546E-03  6.670E-07  393.43 mm    15.23 mm    13.44 mm  
 400.00E6 MeV   2.468E-03  6.284E-07  436.30 mm    16.50 mm    14.78 mm  
 450.00E6 MeV   2.338E-03  5.638E-07  525.80 mm    20.98 mm    17.54 mm  
 500.00E6 MeV   2.235E-03  5.115E-07  619.84 mm    25.03 mm    20.37 mm  
 550.00E6 MeV   2.152E-03  4.685E-07  717.86 mm    28.80 mm    23.25 mm  
 600.00E6 MeV   2.084E-03  4.323E-07  819.40 mm    32.38 mm    26.18 mm  
 650.00E6 MeV   2.027E-03  4.014E-07  924.02 mm    35.79 mm    29.13 mm  
 700.00E6 MeV   1.979E-03  3.749E-07    1.03 m     39.08 mm    32.10 mm  
 800.00E6 MeV   1.904E-03  3.313E-07    1.25 m     50.43 mm    38.06 mm  
 900.00E6 MeV   1.848E-03  2.970E-07    1.48 m     60.29 mm    44.01 mm  
   1.00E9 GeV   1.805E-03  2.694E-07    1.72 m     69.20 mm    49.91 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  2.9650E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler

