==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 09, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Silicon.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    3.671E-03  1.603E-03       2 A         4 A         3 A   
    1.2 eV    3.671E-03  1.680E-03       2 A         4 A         3 A   
    1.3 eV    3.821E-03  1.754E-03       2 A         4 A         3 A   
    1.4 eV    3.965E-03  1.824E-03       2 A         4 A         3 A   
    1.5 eV    4.104E-03  1.892E-03       2 A         5 A         3 A   
    1.6 eV    4.239E-03  1.957E-03       2 A         5 A         3 A   
    1.7 eV    4.369E-03  2.020E-03       2 A         5 A         3 A   
    1.8 eV    4.496E-03  2.081E-03       2 A         5 A         4 A   
      2 eV    4.739E-03  2.198E-03       3 A         5 A         4 A   
   2.25 eV    5.027E-03  2.334E-03       3 A         6 A         4 A   
 2.49999 eV    5.299E-03  2.461E-03       3 A         6 A         4 A   
 2.74999 eV    5.557E-03  2.580E-03       3 A         6 A         4 A   
 2.99999 eV    5.804E-03  2.693E-03       3 A         7 A         5 A   
 3.24999 eV    6.041E-03  2.801E-03       3 A         7 A         5 A   
 3.49999 eV    6.269E-03  2.903E-03       3 A         7 A         5 A   
 3.74999 eV    6.489E-03  3.000E-03       3 A         7 A         5 A   
 3.99999 eV    6.702E-03  3.094E-03       4 A         8 A         5 A   
 4.49999 eV    7.109E-03  3.269E-03       4 A         8 A         6 A   
 4.99999 eV    7.493E-03  3.432E-03       4 A         8 A         6 A   
