             SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 09, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Silicon in Silicon.txt

 Ion = Silicon [14] , Mass = 27.977 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
 5.99999 eV    1.125E-02  8.489E-02       3 A         2 A         2 A   
 6.49999 eV    1.171E-02  8.916E-02       3 A         2 A         2 A   
 6.99999 eV    1.215E-02  9.329E-02       3 A         2 A         2 A   
 7.99999 eV    1.299E-02  1.012E-01       3 A         2 A         2 A   
 8.99999 eV    1.378E-02  1.086E-01       4 A         3 A         2 A   
 9.99999 eV    1.452E-02  1.157E-01       4 A         3 A         2 A   
 10.9999 eV    1.523E-02  1.225E-01       4 A         3 A         2 A   
 11.9999 eV    1.591E-02  1.289E-01       4 A         3 A         2 A   
 12.9999 eV    1.656E-02  1.352E-01       4 A         3 A         2 A   
 13.9999 eV    1.718E-02  1.412E-01       4 A         3 A         2 A   
 14.9999 eV    1.779E-02  1.470E-01       4 A         3 A         2 A   
 15.9999 eV    1.837E-02  1.526E-01       5 A         3 A         2 A   
 16.9999 eV    1.893E-02  1.580E-01       5 A         3 A         3 A   
 17.9999 eV    1.948E-02  1.633E-01       5 A         4 A         3 A   
 19.9999 eV    2.054E-02  1.735E-01       5 A         4 A         3 A   
 22.4999 eV    2.178E-02  1.855E-01       5 A         4 A         3 A   
 24.9999 eV    2.296E-02  1.969E-01       6 A         4 A         3 A   
 27.4999 eV    2.408E-02  2.077E-01       6 A         4 A         3 A   
 29.9999 eV    2.515E-02  2.180E-01       6 A         4 A         3 A   
 32.4999 eV    2.618E-02  2.278E-01       6 A         5 A         3 A   
 34.9999 eV    2.717E-02  2.373E-01       6 A         5 A         3 A   
 37.4999 eV    2.812E-02  2.464E-01       7 A         5 A         4 A   
 39.9999 eV    2.904E-02  2.552E-01       7 A         5 A         4 A   
 44.9999 eV    3.081E-02  2.719E-01       7 A         5 A         4 A   
 49.9999 eV    3.247E-02  2.876E-01       7 A         5 A         4 A   
 54.9999 eV    3.406E-02  3.024E-01       8 A         6 A         4 A   
 59.9999 eV    3.557E-02  3.165E-01       8 A         6 A         4 A   
 64.9999 eV    3.702E-02  3.299E-01       8 A         6 A         4 A   
 69.9999 eV    3.842E-02  3.427E-01       9 A         6 A         5 A   
 79.9999 eV    4.107E-02  3.668E-01       9 A         7 A         5 A   
 89.9999 eV    4.357E-02  3.892E-01      10 A         7 A         5 A   
 99.9999 eV    4.592E-02  4.101E-01      10 A         7 A         5 A   
     110 eV    4.816E-02  4.297E-01      11 A         8 A         6 A   
    120 eV    5.031E-02  4.482E-01      11 A         8 A         6 A   
    130 eV    5.236E-02  4.657E-01      12 A         8 A         6 A   
 139.999 eV    5.434E-02  4.824E-01      12 A         9 A         6 A   
 149.999 eV    5.624E-02  4.983E-01      12 A         9 A         6 A   
 159.999 eV    5.809E-02  5.135E-01      13 A         9 A         6 A   
 169.999 eV    5.988E-02  5.281E-01      13 A         9 A         7 A   
 179.999 eV    6.161E-02  5.421E-01      14 A        10 A         7 A   
 199.999 eV    6.494E-02  5.686E-01      14 A        10 A         7 A   
 224.999 eV    6.888E-02  5.992E-01      15 A        11 A         8 A   
 249.999 eV    7.261E-02  6.275E-01      16 A        11 A         8 A   
 274.999 eV    7.615E-02  6.538E-01      17 A        12 A         8 A   
 299.999 eV    7.954E-02  6.783E-01      18 A        12 A         9 A   
 324.999 eV    8.279E-02  7.014E-01      18 A        13 A         9 A   
 349.999 eV    8.591E-02  7.231E-01      19 A        13 A         9 A   
 374.999 eV    8.893E-02  7.437E-01      20 A        13 A        10 A   
 399.999 eV    9.184E-02  7.632E-01      21 A        14 A        10 A   
 449.999 eV    9.742E-02  7.994E-01      22 A        15 A        10 A   
 499.999 eV    1.027E-01  8.326E-01      23 A        15 A        11 A   
 549.999 eV    1.077E-01  8.630E-01      24 A        16 A        12 A   
 599.999 eV    1.125E-01  8.913E-01      26 A        17 A        12 A   
 649.999 eV    1.171E-01  9.175E-01      27 A        18 A        13 A   
 699.999 eV    1.215E-01  9.421E-01      28 A        18 A        13 A   
 799.999 eV    1.299E-01  9.868E-01      30 A        19 A        14 A   
 899.999 eV    1.378E-01  1.027E+00      33 A        21 A        15 A   
 999.999 eV    1.452E-01  1.063E+00      35 A        22 A        16 A   
   1.10E3 keV   1.523E-01  1.095E+00      37 A        23 A        17 A   
   1.20E3 keV   1.591E-01  1.125E+00      39 A        24 A        17 A   
   1.30E3 keV   1.656E-01  1.152E+00      41 A        25 A        18 A   
   1.40E3 keV   1.718E-01  1.178E+00      43 A        26 A        19 A   
   1.50E3 keV   1.779E-01  1.201E+00      45 A        27 A        20 A   
   1.60E3 keV   1.837E-01  1.223E+00      47 A        28 A        20 A   
   1.70E3 keV   1.893E-01  1.244E+00      48 A        29 A        21 A   
   1.80E3 keV   1.948E-01  1.263E+00      50 A        30 A        22 A   
   2.00E3 keV   2.054E-01  1.298E+00      54 A        32 A        23 A   
   2.25E3 keV   2.178E-01  1.337E+00      58 A        34 A        25 A   
   2.50E3 keV   2.296E-01  1.371E+00      62 A        36 A        26 A   
   2.75E3 keV   2.408E-01  1.400E+00      67 A        38 A        28 A   
   3.00E3 keV   2.515E-01  1.427E+00      71 A        40 A        29 A   
   3.25E3 keV   2.618E-01  1.451E+00      75 A        42 A        31 A   
   3.50E3 keV   2.717E-01  1.473E+00      79 A        44 A        32 A   
   3.75E3 keV   2.812E-01  1.492E+00      83 A        46 A        33 A   
   4.00E3 keV   2.904E-01  1.510E+00      87 A        48 A        35 A   
   4.50E3 keV   3.081E-01  1.541E+00      94 A        51 A        38 A   
   5.00E3 keV   3.247E-01  1.567E+00     102 A        55 A        40 A   
   5.50E3 keV   3.406E-01  1.589E+00     109 A        58 A        43 A   
   6.00E3 keV   3.557E-01  1.608E+00     117 A        62 A        45 A   
   6.50E3 keV   3.702E-01  1.624E+00     124 A        65 A        47 A   
   7.00E3 keV   3.842E-01  1.637E+00     131 A        68 A        50 A   
   8.00E3 keV   4.107E-01  1.659E+00     146 A        75 A        54 A   
   9.00E3 keV   4.357E-01  1.676E+00     160 A        81 A        59 A   
  10.00E3 keV   4.592E-01  1.687E+00     174 A        87 A        63 A   
  11.00E3 keV   4.816E-01  1.695E+00     188 A        93 A        68 A   
  12.00E3 keV   5.031E-01  1.701E+00     201 A        99 A        72 A   
  13.00E3 keV   5.236E-01  1.704E+00     215 A       105 A        76 A   
  14.00E3 keV   5.434E-01  1.706E+00     229 A       110 A        80 A   
  15.00E3 keV   5.624E-01  1.705E+00     242 A       116 A        84 A   
  16.00E3 keV   5.809E-01  1.704E+00     256 A       121 A        88 A   
  17.00E3 keV   5.988E-01  1.702E+00     269 A       127 A        92 A   
  18.00E3 keV   6.161E-01  1.699E+00     283 A       132 A        96 A   
  20.00E3 keV   6.494E-01  1.690E+00     310 A       143 A       103 A   
  22.50E3 keV   6.888E-01  1.677E+00     343 A       156 A       113 A   
  25.00E3 keV   7.261E-01  1.661E+00     377 A       169 A       122 A   
  27.50E3 keV   7.615E-01  1.645E+00     411 A       182 A       131 A   
  30.00E3 keV   7.954E-01  1.627E+00     444 A       194 A       140 A   
  32.50E3 keV   8.279E-01  1.609E+00     478 A       206 A       149 A   
  35.00E3 keV   8.591E-01  1.590E+00     511 A       218 A       157 A   
  37.50E3 keV   8.893E-01  1.572E+00     545 A       230 A       166 A   
  40.00E3 keV   9.184E-01  1.553E+00     578 A       242 A       174 A   
  45.00E3 keV   9.742E-01  1.517E+00     646 A       265 A       191 A   
  50.00E3 keV   1.027E+00  1.481E+00     713 A       287 A       208 A   
  55.00E3 keV   1.077E+00  1.447E+00     781 A       309 A       224 A   
  60.00E3 keV   1.143E+00  1.414E+00     848 A       330 A       240 A   
  65.00E3 keV   1.210E+00  1.383E+00     915 A       350 A       257 A   
  70.00E3 keV   1.272E+00  1.353E+00     981 A       369 A       272 A   
  80.00E3 keV   1.379E+00  1.297E+00    1113 A       407 A       303 A   
  90.00E3 keV   1.465E+00  1.246E+00    1244 A       442 A       333 A   
 100.00E3 keV   1.535E+00  1.199E+00    1375 A       476 A       363 A   
 110.00E3 keV   1.593E+00  1.156E+00    1507 A       509 A       391 A   
 120.00E3 keV   1.642E+00  1.117E+00    1638 A       541 A       419 A   
 130.00E3 keV   1.685E+00  1.080E+00    1770 A       572 A       447 A   
 140.00E3 keV   1.722E+00  1.047E+00    1903 A       603 A       474 A   
 150.00E3 keV   1.756E+00  1.015E+00    2036 A       632 A       500 A   
 160.00E3 keV   1.787E+00  9.860E-01    2169 A       662 A       526 A   
 170.00E3 keV   1.816E+00  9.588E-01    2304 A       690 A       552 A   
 180.00E3 keV   1.843E+00  9.332E-01    2438 A       718 A       578 A   
 200.00E3 keV   1.895E+00  8.866E-01    2709 A       773 A       629 A   
 225.00E3 keV   1.959E+00  8.356E-01    3049 A       838 A       691 A   
 250.00E3 keV   2.026E+00  7.910E-01    3389 A       901 A       752 A   
 275.00E3 keV   2.096E+00  7.516E-01    3728 A       960 A       812 A   
 300.00E3 keV   2.171E+00  7.166E-01    4065 A      1016 A       870 A   
 325.00E3 keV   2.251E+00  6.852E-01    4398 A      1068 A       927 A   
 350.00E3 keV   2.335E+00  6.568E-01    4726 A      1118 A       982 A   
 375.00E3 keV   2.424E+00  6.311E-01    5050 A      1165 A      1035 A   
 400.00E3 keV   2.515E+00  6.076E-01    5367 A      1209 A      1087 A   
 450.00E3 keV   2.708E+00  5.662E-01    5984 A      1291 A      1185 A   
 500.00E3 keV   2.909E+00  5.308E-01    6576 A      1362 A      1276 A   
 550.00E3 keV   3.116E+00  5.002E-01    7142 A      1426 A      1360 A   
 600.00E3 keV   3.326E+00  4.733E-01    7683 A      1482 A      1437 A   
 650.00E3 keV   3.538E+00  4.496E-01    8200 A      1532 A      1509 A   
 700.00E3 keV   3.749E+00  4.285E-01    8695 A      1577 A      1575 A   
 800.00E3 keV   4.167E+00  3.923E-01    9626 A      1656 A      1693 A   
 900.00E3 keV   4.571E+00  3.624E-01    1.05 um     1720 A      1795 A   
   1.00E6 MeV   4.959E+00  3.373E-01    1.13 um     1774 A      1884 A   
   1.10E6 MeV   5.327E+00  3.158E-01    1.20 um     1820 A      1962 A   
   1.20E6 MeV   5.676E+00  2.972E-01    1.28 um     1860 A      2032 A   
   1.30E6 MeV   6.004E+00  2.809E-01    1.34 um     1894 A      2094 A   
   1.40E6 MeV   6.313E+00  2.665E-01    1.41 um     1925 A      2150 A   
   1.50E6 MeV   6.603E+00  2.536E-01    1.47 um     1952 A      2202 A   
   1.60E6 MeV   6.876E+00  2.421E-01    1.53 um     1977 A      2249 A   
   1.70E6 MeV   7.131E+00  2.317E-01    1.59 um     1999 A      2292 A   
   1.80E6 MeV   7.372E+00  2.223E-01    1.65 um     2019 A      2333 A   
   2.00E6 MeV   7.810E+00  2.057E-01    1.75 um     2058 A      2405 A   
   2.25E6 MeV   8.290E+00  1.885E-01    1.88 um     2101 A      2484 A   
   2.50E6 MeV   8.706E+00  1.742E-01    2.00 um     2138 A      2553 A   
   2.75E6 MeV   9.072E+00  1.621E-01    2.12 um     2170 A      2615 A   
   3.00E6 MeV   9.395E+00  1.518E-01    2.23 um     2199 A      2670 A   
   3.25E6 MeV   9.683E+00  1.428E-01    2.34 um     2225 A      2720 A   
   3.50E6 MeV   9.942E+00  1.349E-01    2.45 um     2248 A      2766 A   
   3.75E6 MeV   1.018E+01  1.279E-01    2.55 um     2270 A      2808 A   
   4.00E6 MeV   1.039E+01  1.216E-01    2.66 um     2290 A      2848 A   
   4.50E6 MeV   1.077E+01  1.110E-01    2.86 um     2335 A      2920 A   
   5.00E6 MeV   1.110E+01  1.022E-01    3.05 um     2375 A      2985 A   
   5.50E6 MeV   1.138E+01  9.477E-02    3.24 um     2412 A      3043 A   
   6.00E6 MeV   1.163E+01  8.845E-02    3.42 um     2445 A      3097 A   
   6.50E6 MeV   1.185E+01  8.299E-02    3.60 um     2477 A      3146 A   
   7.00E6 MeV   1.205E+01  7.821E-02    3.78 um     2506 A      3192 A   
   8.00E6 MeV   1.239E+01  7.025E-02    4.13 um     2583 A      3277 A   
   9.00E6 MeV   1.267E+01  6.387E-02    4.47 um     2653 A      3353 A   
  10.00E6 MeV   1.291E+01  5.864E-02    4.81 um     2717 A      3422 A   
  11.00E6 MeV   1.310E+01  5.425E-02    5.13 um     2777 A      3486 A   
  12.00E6 MeV   1.327E+01  5.052E-02    5.46 um     2834 A      3546 A   
  13.00E6 MeV   1.341E+01  4.730E-02    5.78 um     2888 A      3602 A   
  14.00E6 MeV   1.353E+01  4.450E-02    6.10 um     2939 A      3656 A   
  15.00E6 MeV   1.363E+01  4.203E-02    6.41 um     2989 A      3707 A   
  16.00E6 MeV   1.371E+01  3.985E-02    6.73 um     3036 A      3755 A   
  17.00E6 MeV   1.378E+01  3.789E-02    7.04 um     3082 A      3802 A   
  18.00E6 MeV   1.384E+01  3.613E-02    7.35 um     3127 A      3847 A   
  20.00E6 MeV   1.392E+01  3.309E-02    7.97 um     3271 A      3934 A   
  22.50E6 MeV   1.398E+01  2.998E-02    8.74 um     3475 A      4035 A   
  25.00E6 MeV   1.400E+01  2.744E-02    9.51 um     3666 A      4131 A   
  27.50E6 MeV   1.398E+01  2.533E-02   10.27 um     3847 A      4223 A   
  30.00E6 MeV   1.395E+01  2.353E-02   11.04 um     4019 A      4311 A   
  32.50E6 MeV   1.389E+01  2.199E-02   11.81 um     4185 A      4397 A   
  35.00E6 MeV   1.382E+01  2.065E-02   12.59 um     4346 A      4480 A   
  37.50E6 MeV   1.374E+01  1.947E-02   13.37 um     4503 A      4562 A   
  40.00E6 MeV   1.365E+01  1.843E-02   14.15 um     4656 A      4642 A   
  45.00E6 MeV   1.345E+01  1.667E-02   15.74 um     5201 A      4798 A   
  50.00E6 MeV   1.323E+01  1.523E-02   17.35 um     5708 A      4952 A   
  55.00E6 MeV   1.301E+01  1.403E-02   18.99 um     6190 A      5103 A   
  60.00E6 MeV   1.277E+01  1.302E-02   20.66 um     6651 A      5253 A   
  65.00E6 MeV   1.245E+01  1.215E-02   22.37 um     7101 A      5404 A   
  70.00E6 MeV   1.213E+01  1.140E-02   24.12 um     7546 A      5555 A   
  80.00E6 MeV   1.160E+01  1.015E-02   27.74 um     9169 A      5861 A   
  90.00E6 MeV   1.111E+01  9.167E-03   31.53 um     1.07 um     6175 A   
 100.00E6 MeV   1.064E+01  8.364E-03   35.49 um     1.21 um     6497 A   
 110.00E6 MeV   1.021E+01  7.698E-03   39.62 um     1.35 um     6829 A   
 120.00E6 MeV   9.817E+00  7.135E-03   43.92 um     1.48 um     7172 A   
 130.00E6 MeV   9.449E+00  6.652E-03   48.39 um     1.61 um     7525 A   
 140.00E6 MeV   9.107E+00  6.234E-03   53.03 um     1.75 um     7890 A   
 150.00E6 MeV   8.790E+00  5.868E-03   57.84 um     1.88 um     8267 A   
 160.00E6 MeV   8.495E+00  5.545E-03   62.83 um     2.01 um     8656 A   
 170.00E6 MeV   8.221E+00  5.258E-03   67.98 um     2.14 um     9056 A   
 180.00E6 MeV   7.964E+00  5.000E-03   73.30 um     2.27 um     9469 A   
 200.00E6 MeV   7.500E+00  4.557E-03   84.44 um     2.78 um     1.03 um  
 225.00E6 MeV   6.996E+00  4.107E-03   99.31 um     3.49 um     1.15 um  
 250.00E6 MeV   6.561E+00  3.742E-03  115.20 um     4.16 um     1.27 um  
 275.00E6 MeV   6.182E+00  3.439E-03  132.11 um     4.81 um     1.40 um  
 300.00E6 MeV   5.849E+00  3.184E-03  150.01 um     5.44 um     1.53 um  
 325.00E6 MeV   5.553E+00  2.965E-03  168.90 um     6.07 um     1.68 um  
 350.00E6 MeV   5.289E+00  2.776E-03  188.77 um     6.70 um     1.83 um  
 375.00E6 MeV   5.051E+00  2.611E-03  209.60 um     7.33 um     1.98 um  
 400.00E6 MeV   4.836E+00  2.465E-03  231.38 um     7.96 um     2.15 um  
 450.00E6 MeV   4.461E+00  2.219E-03  277.75 um    10.34 um     2.49 um  
 500.00E6 MeV   4.146E+00  2.020E-03  327.83 um    12.55 um     2.86 um  
 550.00E6 MeV   3.875E+00  1.855E-03  381.56 um    14.69 um     3.26 um  
 600.00E6 MeV   3.642E+00  1.716E-03  438.89 um    16.80 um     3.68 um  
 650.00E6 MeV   3.439E+00  1.597E-03  499.75 um    18.90 um     4.12 um  
 700.00E6 MeV   3.261E+00  1.495E-03  564.06 um    21.00 um     4.58 um  
 800.00E6 MeV   2.967E+00  1.326E-03  702.57 um    28.77 um     5.58 um  
 900.00E6 MeV   2.726E+00  1.193E-03  854.07 um    35.92 um     6.66 um  
   1.00E9 GeV   2.519E+00  1.085E-03    1.02 mm    42.84 um     7.82 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  1.9207E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler

