             SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 09, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Silicon in Silicon.txt

 Ion = Silicon [14] , Mass = 27.977 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    5.031E-03  2.869E-02       2 A         1 A         1 A   
    1.2 eV    5.031E-03  3.039E-02       2 A         1 A         1 A   
    1.3 eV    5.236E-03  3.204E-02       2 A         1 A         1 A   
    1.4 eV    5.434E-03  3.364E-02       2 A         1 A         1 A   
    1.5 eV    5.624E-03  3.519E-02       2 A         1 A         1 A   
    1.6 eV    5.809E-03  3.671E-02       2 A         1 A         1 A   
    1.7 eV    5.988E-03  3.819E-02       2 A         1 A         1 A   
    1.8 eV    6.161E-03  3.963E-02       2 A         1 A         1 A   
      2 eV    6.494E-03  4.243E-02       2 A         1 A         1 A   
   2.25 eV    6.888E-03  4.578E-02       2 A         1 A         1 A   
 2.49999 eV    7.261E-03  4.899E-02       2 A         1 A         1 A   
 2.74999 eV    7.615E-03  5.207E-02       2 A         2 A         1 A   
 2.99999 eV    7.954E-03  5.503E-02       2 A         2 A         1 A   
 3.24999 eV    8.279E-03  5.790E-02       2 A         2 A         1 A   
 3.49999 eV    8.591E-03  6.068E-02       3 A         2 A         1 A   
 3.74999 eV    8.893E-03  6.337E-02       3 A         2 A         1 A   
 3.99999 eV    9.184E-03  6.599E-02       3 A         2 A         1 A   
 4.49999 eV    9.742E-03  7.104E-02       3 A         2 A         1 A   
 4.99999 eV    1.027E-02  7.585E-02       3 A         2 A         2 A   
 5.49999 eV    1.077E-02  8.046E-02       3 A         2 A         2 A   
