==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 09, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Silicon.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    2.530E-03  6.748E-03       2 A         3 A         2 A   
    1.2 eV    2.530E-03  7.095E-03       2 A         3 A         2 A   
    1.3 eV    2.633E-03  7.429E-03       2 A         3 A         2 A   
    1.4 eV    2.733E-03  7.750E-03       2 A         3 A         2 A   
    1.5 eV    2.829E-03  8.060E-03       2 A         3 A         2 A   
    1.6 eV    2.921E-03  8.359E-03       2 A         3 A         2 A   
    1.7 eV    3.011E-03  8.649E-03       2 A         3 A         2 A   
    1.8 eV    3.098E-03  8.931E-03       2 A         3 A         2 A   
      2 eV    3.266E-03  9.470E-03       2 A         4 A         3 A   
   2.25 eV    3.464E-03  1.011E-02       2 A         4 A         3 A   
 2.49999 eV    3.652E-03  1.071E-02       2 A         4 A         3 A   
 2.74999 eV    3.830E-03  1.127E-02       3 A         4 A         3 A   
 2.99999 eV    4.000E-03  1.181E-02       3 A         4 A         3 A   
 3.24999 eV    4.163E-03  1.233E-02       3 A         4 A         3 A   
 3.49999 eV    4.321E-03  1.282E-02       3 A         5 A         3 A   
 3.74999 eV    4.472E-03  1.330E-02       3 A         5 A         3 A   
 3.99999 eV    4.619E-03  1.375E-02       3 A         5 A         4 A   
 4.49999 eV    4.899E-03  1.462E-02       3 A         5 A         4 A   
 4.99999 eV    5.164E-03  1.543E-02       3 A         6 A         4 A   
 5.49999 eV    5.416E-03  1.619E-02       4 A         6 A         4 A   
