==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 09, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Silicon.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
 5.99999 eV    5.657E-03  1.691E-02       4 A         6 A         4 A   
 6.49999 eV    5.888E-03  1.760E-02       4 A         6 A         5 A   
 6.99999 eV    6.110E-03  1.825E-02       4 A         6 A         5 A   
 7.99999 eV    6.532E-03  1.948E-02       4 A         7 A         5 A   
 8.99999 eV    6.928E-03  2.061E-02       5 A         7 A         5 A   
 9.99999 eV    7.303E-03  2.166E-02       5 A         8 A         6 A   
 10.9999 eV    7.660E-03  2.264E-02       5 A         8 A         6 A   
 11.9999 eV    8.000E-03  2.356E-02       5 A         8 A         6 A   
 12.9999 eV    8.327E-03  2.444E-02       5 A         9 A         6 A   
 13.9999 eV    8.641E-03  2.526E-02       6 A         9 A         7 A   
 14.9999 eV    8.945E-03  2.605E-02       6 A         9 A         7 A   
 15.9999 eV    9.238E-03  2.680E-02       6 A        10 A         7 A   
 16.9999 eV    9.522E-03  2.751E-02       6 A        10 A         7 A   
 17.9999 eV    9.798E-03  2.820E-02       7 A        10 A         7 A   
 19.9999 eV    1.033E-02  2.949E-02       7 A        11 A         8 A   
 22.4999 eV    1.095E-02  3.097E-02       7 A        11 A         8 A   
 24.9999 eV    1.155E-02  3.233E-02       8 A        12 A         9 A   
 27.4999 eV    1.211E-02  3.359E-02       8 A        13 A         9 A   
 29.9999 eV    1.265E-02  3.476E-02       9 A        13 A        10 A   
 32.4999 eV    1.317E-02  3.586E-02       9 A        14 A        10 A   
 34.9999 eV    1.366E-02  3.688E-02      10 A        14 A        11 A   
 37.4999 eV    1.414E-02  3.785E-02      10 A        15 A        11 A   
 39.9999 eV    1.461E-02  3.876E-02      10 A        15 A        11 A   
 44.9999 eV    1.549E-02  4.045E-02      11 A        16 A        12 A   
 49.9999 eV    1.633E-02  4.197E-02      12 A        17 A        13 A   
 54.9999 eV    1.713E-02  4.337E-02      13 A        18 A        14 A   
 59.9999 eV    1.789E-02  4.466E-02      13 A        19 A        14 A   
 64.9999 eV    1.862E-02  4.584E-02      14 A        20 A        15 A   
 69.9999 eV    1.932E-02  4.695E-02      15 A        21 A        16 A   
 79.9999 eV    2.066E-02  4.894E-02      16 A        23 A        17 A   
 89.9999 eV    2.191E-02  5.070E-02      18 A        24 A        18 A   
 99.9999 eV    2.309E-02  5.227E-02      19 A        26 A        19 A   
    110 eV    2.422E-02  5.368E-02      20 A        27 A        20 A   
    120 eV    2.530E-02  5.495E-02      21 A        29 A        21 A   
    130 eV    2.633E-02  5.612E-02      23 A        30 A        23 A   
 139.999 eV    2.733E-02  5.719E-02      24 A        32 A        24 A   
 149.999 eV    2.829E-02  5.817E-02      25 A        33 A        25 A   
 159.999 eV    2.921E-02  5.908E-02      26 A        34 A        26 A   
 169.999 eV    3.011E-02  5.992E-02      27 A        36 A        27 A   
 179.999 eV    3.098E-02  6.070E-02      29 A        37 A        28 A   
 199.999 eV    3.266E-02  6.211E-02      31 A        39 A        30 A   
 224.999 eV    3.464E-02  6.364E-02      34 A        43 A        32 A   
 249.999 eV    3.652E-02  6.495E-02      36 A        46 A        34 A   
 274.999 eV    3.830E-02  6.609E-02      39 A        48 A        36 A   
 299.999 eV    4.000E-02  6.708E-02      42 A        51 A        38 A   
 324.999 eV    4.163E-02  6.795E-02      45 A        54 A        41 A   
 349.999 eV    4.321E-02  6.872E-02      47 A        57 A        43 A   
 374.999 eV    4.472E-02  6.940E-02      50 A        60 A        45 A   
 399.999 eV    4.619E-02  7.000E-02      53 A        62 A        47 A   
 449.999 eV    4.899E-02  7.102E-02      58 A        67 A        51 A   
 499.999 eV    5.164E-02  7.182E-02      63 A        73 A        54 A   
 549.999 eV    5.416E-02  7.247E-02      68 A        77 A        58 A   
 599.999 eV    5.657E-02  7.298E-02      73 A        82 A        62 A   
 649.999 eV    5.888E-02  7.338E-02      79 A        87 A        65 A   
 699.999 eV    6.110E-02  7.369E-02      84 A        92 A        69 A   
 799.999 eV    6.532E-02  7.410E-02      94 A       101 A        76 A   
 899.999 eV    6.928E-02  7.429E-02     104 A       110 A        82 A   
 999.999 eV    7.303E-02  7.431E-02     114 A       119 A        89 A   
   1.10E3 keV   7.660E-02  7.422E-02     124 A       127 A        95 A   
   1.20E3 keV   8.000E-02  7.403E-02     135 A       136 A       102 A   
   1.30E3 keV   8.327E-02  7.377E-02     145 A       144 A       108 A   
   1.40E3 keV   8.641E-02  7.345E-02     155 A       152 A       114 A   
   1.50E3 keV   8.945E-02  7.310E-02     165 A       160 A       120 A   
   1.60E3 keV   9.238E-02  7.270E-02     175 A       168 A       126 A   
   1.70E3 keV   9.522E-02  7.229E-02     185 A       175 A       132 A   
   1.80E3 keV   9.798E-02  7.185E-02     196 A       183 A       138 A   
   2.00E3 keV   1.033E-01  7.093E-02     216 A       197 A       150 A   
   2.25E3 keV   1.095E-01  6.975E-02     242 A       215 A       164 A   
   2.50E3 keV   1.155E-01  6.854E-02     268 A       232 A       177 A   
   2.75E3 keV   1.211E-01  6.734E-02     293 A       249 A       191 A   
   3.00E3 keV   1.265E-01  6.615E-02     319 A       266 A       204 A   
   3.25E3 keV   1.317E-01  6.499E-02     345 A       282 A       217 A   
   3.50E3 keV   1.366E-01  6.386E-02     371 A       297 A       229 A   
   3.75E3 keV   1.414E-01  6.277E-02     397 A       312 A       242 A   
   4.00E3 keV   1.461E-01  6.170E-02     423 A       327 A       254 A   
   4.50E3 keV   1.549E-01  5.968E-02     475 A       356 A       278 A   
   5.00E3 keV   1.633E-01  5.779E-02     527 A       383 A       301 A   
   5.50E3 keV   1.713E-01  5.603E-02     579 A       409 A       324 A   
   6.00E3 keV   1.789E-01  5.438E-02     631 A       434 A       345 A   
   6.50E3 keV   1.862E-01  5.284E-02     683 A       459 A       367 A   
   7.00E3 keV   1.932E-01  5.139E-02     734 A       482 A       387 A   
   8.00E3 keV   2.066E-01  4.876E-02     837 A       526 A       427 A   
   9.00E3 keV   2.193E-01  4.643E-02     939 A       567 A       465 A   
  10.00E3 keV   2.310E-01  4.434E-02    1040 A       605 A       502 A   
  11.00E3 keV   2.421E-01  4.246E-02    1141 A       642 A       536 A   
  12.00E3 keV   2.526E-01  4.076E-02    1240 A       676 A       569 A   
  13.00E3 keV   2.628E-01  3.922E-02    1338 A       708 A       601 A   
  14.00E3 keV   2.730E-01  3.780E-02    1436 A       739 A       632 A   
  15.00E3 keV   2.831E-01  3.651E-02    1532 A       768 A       662 A   
  16.00E3 keV   2.933E-01  3.531E-02    1627 A       795 A       690 A   
  17.00E3 keV   3.035E-01  3.420E-02    1721 A       821 A       718 A   
  18.00E3 keV   3.138E-01  3.317E-02    1813 A       846 A       744 A   
  20.00E3 keV   3.343E-01  3.131E-02    1994 A       891 A       794 A   
  22.50E3 keV   3.596E-01  2.931E-02    2212 A       943 A       852 A   
  25.00E3 keV   3.843E-01  2.758E-02    2422 A       988 A       905 A   
  27.50E3 keV   4.082E-01  2.608E-02    2625 A      1029 A       953 A   
  30.00E3 keV   4.315E-01  2.475E-02    2820 A      1065 A       998 A   
  32.50E3 keV   4.540E-01  2.357E-02    3010 A      1099 A      1040 A   
  35.00E3 keV   4.758E-01  2.251E-02    3193 A      1129 A      1078 A   
  37.50E3 keV   4.970E-01  2.156E-02    3372 A      1156 A      1114 A   
  40.00E3 keV   5.176E-01  2.069E-02    3545 A      1182 A      1148 A   
  45.00E3 keV   5.570E-01  1.918E-02    3878 A      1227 A      1210 A   
  50.00E3 keV   5.945E-01  1.790E-02    4194 A      1266 A      1265 A   
  55.00E3 keV   6.301E-01  1.680E-02    4497 A      1300 A      1314 A   
  60.00E3 keV   6.641E-01  1.585E-02    4788 A      1330 A      1359 A   
  65.00E3 keV   6.965E-01  1.501E-02    5067 A      1357 A      1400 A   
  70.00E3 keV   7.275E-01  1.426E-02    5336 A      1382 A      1438 A   
  80.00E3 keV   7.856E-01  1.300E-02    5850 A      1424 A      1505 A   
  90.00E3 keV   8.390E-01  1.196E-02    6335 A      1459 A      1564 A   
 100.00E3 keV   8.883E-01  1.109E-02    6795 A      1490 A      1616 A   
 110.00E3 keV   9.339E-01  1.036E-02    7236 A      1516 A      1662 A   
 120.00E3 keV   9.760E-01  9.721E-03    7658 A      1539 A      1704 A   
 130.00E3 keV   1.015E+00  9.167E-03    8066 A      1560 A      1742 A   
 140.00E3 keV   1.051E+00  8.679E-03    8462 A      1578 A      1777 A   
 150.00E3 keV   1.085E+00  8.246E-03    8845 A      1595 A      1809 A   
 160.00E3 keV   1.116E+00  7.858E-03    9219 A      1611 A      1839 A   
 170.00E3 keV   1.145E+00  7.508E-03    9584 A      1625 A      1867 A   
 180.00E3 keV   1.172E+00  7.191E-03    9942 A      1638 A      1894 A   
 200.00E3 keV   1.219E+00  6.639E-03    1.06 um     1663 A      1942 A   
 225.00E3 keV   1.270E+00  6.067E-03    1.15 um     1691 A      1996 A   
 250.00E3 keV   1.311E+00  5.594E-03    1.23 um     1715 A      2045 A   
 275.00E3 keV   1.345E+00  5.196E-03    1.31 um     1737 A      2089 A   
 300.00E3 keV   1.373E+00  4.855E-03    1.39 um     1757 A      2130 A   
 325.00E3 keV   1.395E+00  4.560E-03    1.46 um     1776 A      2168 A   
 350.00E3 keV   1.413E+00  4.301E-03    1.54 um     1793 A      2204 A   
 375.00E3 keV   1.426E+00  4.073E-03    1.61 um     1809 A      2238 A   
 400.00E3 keV   1.436E+00  3.870E-03    1.69 um     1824 A      2271 A   
 450.00E3 keV   1.448E+00  3.523E-03    1.83 um     1859 A      2332 A   
 500.00E3 keV   1.452E+00  3.238E-03    1.98 um     1891 A      2389 A   
 550.00E3 keV   1.449E+00  2.999E-03    2.13 um     1921 A      2443 A   
 600.00E3 keV   1.441E+00  2.795E-03    2.27 um     1951 A      2495 A   
 650.00E3 keV   1.430E+00  2.619E-03    2.42 um     1979 A      2545 A   
 700.00E3 keV   1.416E+00  2.466E-03    2.57 um     2007 A      2594 A   
 800.00E3 keV   1.384E+00  2.211E-03    2.88 um     2084 A      2689 A   
 900.00E3 keV   1.349E+00  2.007E-03    3.19 um     2160 A      2782 A   
   1.00E6 MeV   1.312E+00  1.839E-03    3.51 um     2237 A      2874 A   
   1.10E6 MeV   1.276E+00  1.700E-03    3.84 um     2314 A      2967 A   
   1.20E6 MeV   1.240E+00  1.581E-03    4.18 um     2392 A      3060 A   
   1.30E6 MeV   1.206E+00  1.479E-03    4.53 um     2471 A      3153 A   
   1.40E6 MeV   1.172E+00  1.390E-03    4.89 um     2551 A      3249 A   
   1.50E6 MeV   1.141E+00  1.312E-03    5.26 um     2633 A      3345 A   
   1.60E6 MeV   1.111E+00  1.243E-03    5.65 um     2716 A      3444 A   
   1.70E6 MeV   1.082E+00  1.181E-03    6.04 um     2801 A      3544 A   
   1.80E6 MeV   1.055E+00  1.126E-03    6.44 um     2888 A      3647 A   
   2.00E6 MeV   1.005E+00  1.030E-03    7.27 um     3176 A      3858 A   
   2.25E6 MeV   9.495E-01  9.320E-04    8.37 um     3605 A      4135 A   
   2.50E6 MeV   9.002E-01  8.522E-04    9.53 um     4031 A      4426 A   
   2.75E6 MeV   8.564E-01  7.857E-04   10.75 um     4456 A      4732 A   
   3.00E6 MeV   8.172E-01  7.294E-04   12.04 um     4883 A      5053 A   
   3.25E6 MeV   7.821E-01  6.811E-04   13.38 um     5312 A      5388 A   
   3.50E6 MeV   7.503E-01  6.391E-04   14.78 um     5744 A      5737 A   
   3.75E6 MeV   7.214E-01  6.024E-04   16.24 um     6180 A      6101 A   
   4.00E6 MeV   6.950E-01  5.698E-04   17.76 um     6619 A      6478 A   
   4.50E6 MeV   6.486E-01  5.148E-04   20.96 um     8162 A      7272 A   
   5.00E6 MeV   6.090E-01  4.700E-04   24.38 um     9630 A      8118 A   
   5.50E6 MeV   5.747E-01  4.327E-04   28.02 um     1.11 um     9013 A   
   6.00E6 MeV   5.448E-01  4.012E-04   31.86 um     1.25 um     9955 A   
   6.50E6 MeV   5.184E-01  3.743E-04   35.90 um     1.39 um     1.09 um  
   7.00E6 MeV   4.949E-01  3.509E-04   40.15 um     1.53 um     1.20 um  
   8.00E6 MeV   4.548E-01  3.123E-04   49.21 um     2.02 um     1.42 um  
   9.00E6 MeV   4.204E-01  2.817E-04   59.05 um     2.48 um     1.65 um  
  10.00E6 MeV   3.885E-01  2.569E-04   69.69 um     2.93 um     1.90 um  
  11.00E6 MeV   3.633E-01  2.363E-04   81.14 um     3.38 um     2.17 um  
  12.00E6 MeV   3.415E-01  2.189E-04   93.36 um     3.83 um     2.46 um  
  13.00E6 MeV   3.225E-01  2.040E-04  106.32 um     4.28 um     2.76 um  
  14.00E6 MeV   3.057E-01  1.911E-04  120.02 um     4.74 um     3.08 um  
  15.00E6 MeV   2.908E-01  1.798E-04  134.44 um     5.20 um     3.41 um  
  16.00E6 MeV   2.775E-01  1.698E-04  149.59 um     5.67 um     3.75 um  
  17.00E6 MeV   2.654E-01  1.609E-04  165.44 um     6.14 um     4.12 um  
  18.00E6 MeV   2.545E-01  1.530E-04  181.99 um     6.61 um     4.49 um  
  20.00E6 MeV   2.354E-01  1.394E-04  217.15 um     8.36 um     5.29 um  
  22.50E6 MeV   2.156E-01  1.255E-04  264.89 um    10.85 um     6.36 um  
  25.00E6 MeV   1.993E-01  1.143E-04  316.78 um    13.21 um     7.51 um  
  27.50E6 MeV   1.854E-01  1.050E-04  372.75 um    15.52 um     8.75 um  
  30.00E6 MeV   1.736E-01  9.716E-05  432.70 um    17.81 um    10.06 um  
  32.50E6 MeV   1.633E-01  9.046E-05  496.59 um    20.10 um    11.46 um  
  35.00E6 MeV   1.543E-01  8.466E-05  564.35 um    22.41 um    12.93 um  
  37.50E6 MeV   1.464E-01  7.960E-05  635.93 um    24.74 um    14.48 um  
  40.00E6 MeV   1.393E-01  7.513E-05  711.28 um    27.10 um    16.10 um  
  45.00E6 MeV   1.271E-01  6.760E-05  873.00 um    35.75 um    19.57 um  
  50.00E6 MeV   1.172E-01  6.150E-05    1.05 mm    43.90 um    23.32 um  
  55.00E6 MeV   1.088E-01  5.646E-05    1.24 mm    51.85 um    27.35 um  
  60.00E6 MeV   1.016E-01  5.221E-05    1.44 mm    59.73 um    31.66 um  
  65.00E6 MeV   9.544E-02  4.858E-05    1.66 mm    67.63 um    36.23 um  
  70.00E6 MeV   9.005E-02  4.544E-05    1.90 mm    75.58 um    41.07 um  
  80.00E6 MeV   8.108E-02  4.028E-05    2.40 mm   104.61 um    51.51 um  
  90.00E6 MeV   7.389E-02  3.622E-05    2.96 mm   131.66 um    62.96 um  
 100.00E6 MeV   6.801E-02  3.293E-05    3.56 mm   158.04 um    75.37 um  
 110.00E6 MeV   6.308E-02  3.021E-05    4.22 mm   184.26 um    88.73 um  
 120.00E6 MeV   5.890E-02  2.792E-05    4.93 mm   210.58 um   103.01 um  
 130.00E6 MeV   5.530E-02  2.596E-05    5.68 mm   237.14 um   118.19 um  
 140.00E6 MeV   5.217E-02  2.427E-05    6.48 mm   263.99 um   134.25 um  
 150.00E6 MeV   4.942E-02  2.280E-05    7.33 mm   291.20 um   151.17 um  
 160.00E6 MeV   4.698E-02  2.150E-05    8.22 mm   318.77 um   168.93 um  
 170.00E6 MeV   4.480E-02  2.035E-05    9.16 mm   346.71 um   187.51 um  
 180.00E6 MeV   4.284E-02  1.932E-05   10.14 mm   375.04 um   206.90 um  
 200.00E6 MeV   3.947E-02  1.755E-05   12.24 mm   480.69 um   248.06 um  
 225.00E6 MeV   3.603E-02  1.576E-05   15.09 mm   631.20 um   303.81 um  
 250.00E6 MeV   3.322E-02  1.432E-05   18.20 mm   773.10 um   364.14 um  
 275.00E6 MeV   3.089E-02  1.313E-05   21.56 mm   911.39 um   428.86 um  
 300.00E6 MeV   2.892E-02  1.212E-05   25.16 mm     1.05 mm   497.81 um  
 325.00E6 MeV   2.723E-02  1.127E-05   29.00 mm     1.18 mm   570.81 um  
 350.00E6 MeV   2.576E-02  1.053E-05   33.06 mm     1.32 mm   647.72 um  
 375.00E6 MeV   2.448E-02  9.885E-06   37.34 mm     1.46 mm   728.39 um  
 400.00E6 MeV   2.335E-02  9.318E-06   41.84 mm     1.60 mm   812.70 um  
 450.00E6 MeV   2.144E-02  8.364E-06   51.47 mm     2.11 mm   991.77 um  
 500.00E6 MeV   1.989E-02  7.594E-06   61.89 mm     2.58 mm     1.18 mm  
 550.00E6 MeV   1.861E-02  6.958E-06   73.08 mm     3.04 mm     1.39 mm  
 600.00E6 MeV   1.753E-02  6.423E-06   85.00 mm     3.49 mm     1.60 mm  
 650.00E6 MeV   1.660E-02  5.968E-06   97.62 mm     3.93 mm     1.83 mm  
 700.00E6 MeV   1.581E-02  5.575E-06  110.90 mm     4.37 mm     2.07 mm  
 800.00E6 MeV   1.450E-02  4.930E-06  139.34 mm     5.96 mm     2.57 mm  
 900.00E6 MeV   1.348E-02  4.423E-06  170.14 mm     7.41 mm     3.10 mm  
   1.00E9 GeV   1.265E-02  4.014E-06  203.11 mm     8.78 mm     3.67 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  4.2914E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler

