==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 09, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Magnesium in Silicon.txt

 Ion = Magnesium [12] , Mass = 23.985 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    2.731E-03  2.716E-02       2 A         1 A         1 A   
    1.2 eV    2.731E-03  2.876E-02       2 A         1 A         1 A   
    1.3 eV    2.842E-03  3.030E-02       2 A         1 A         1 A   
    1.4 eV    2.949E-03  3.179E-02       2 A         1 A         1 A   
    1.5 eV    3.053E-03  3.325E-02       2 A         1 A         1 A   
    1.6 eV    3.153E-03  3.467E-02       2 A         1 A         1 A   
    1.7 eV    3.250E-03  3.605E-02       2 A         1 A         1 A   
    1.8 eV    3.344E-03  3.740E-02       2 A         1 A         1 A   
      2 eV    3.525E-03  4.002E-02       2 A         1 A         1 A   
   2.25 eV    3.739E-03  4.314E-02       2 A         2 A         1 A   
 2.49999 eV    3.941E-03  4.613E-02       2 A         2 A         1 A   
 2.74999 eV    4.134E-03  4.899E-02       2 A         2 A         1 A   
 2.99999 eV    4.318E-03  5.175E-02       2 A         2 A         1 A   
 3.24999 eV    4.494E-03  5.442E-02       2 A         2 A         1 A   
 3.49999 eV    4.663E-03  5.700E-02       3 A         2 A         1 A   
 3.74999 eV    4.827E-03  5.950E-02       3 A         2 A         2 A   
 3.99999 eV    4.985E-03  6.193E-02       3 A         2 A         2 A   
 4.49999 eV    5.288E-03  6.660E-02       3 A         2 A         2 A   
 4.99999 eV    5.574E-03  7.106E-02       3 A         2 A         2 A   
