==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 09, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Magnesium in Silicon.txt

 Ion = Magnesium [12] , Mass = 23.985 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
 5.49999 eV    5.846E-03  7.532E-02       3 A         2 A         2 A   
 5.99999 eV    6.106E-03  7.941E-02       3 A         2 A         2 A   
 6.49999 eV    6.355E-03  8.335E-02       3 A         3 A         2 A   
 6.99999 eV    6.595E-03  8.716E-02       3 A         3 A         2 A   
 7.99999 eV    7.051E-03  9.441E-02       4 A         3 A         2 A   
 8.99999 eV    7.478E-03  1.013E-01       4 A         3 A         2 A   
 9.99999 eV    7.883E-03  1.078E-01       4 A         3 A         2 A   
 10.9999 eV    8.267E-03  1.140E-01       4 A         3 A         2 A   
 11.9999 eV    8.635E-03  1.199E-01       4 A         3 A         2 A   
 12.9999 eV    8.988E-03  1.256E-01       4 A         3 A         3 A   
 13.9999 eV    9.327E-03  1.311E-01       4 A         3 A         3 A   
 14.9999 eV    9.654E-03  1.364E-01       5 A         4 A         3 A   
 15.9999 eV    9.971E-03  1.415E-01       5 A         4 A         3 A   
 16.9999 eV    1.028E-02  1.465E-01       5 A         4 A         3 A   
 17.9999 eV    1.058E-02  1.513E-01       5 A         4 A         3 A   
 19.9999 eV    1.115E-02  1.605E-01       5 A         4 A         3 A   
 22.4999 eV    1.182E-02  1.715E-01       5 A         4 A         3 A   
 24.9999 eV    1.246E-02  1.818E-01       6 A         4 A         3 A   
 27.4999 eV    1.307E-02  1.915E-01       6 A         5 A         4 A   
 29.9999 eV    1.365E-02  2.008E-01       6 A         5 A         4 A   
 32.4999 eV    1.421E-02  2.097E-01       6 A         5 A         4 A   
 34.9999 eV    1.475E-02  2.182E-01       6 A         5 A         4 A   
 37.4999 eV    1.526E-02  2.264E-01       7 A         5 A         4 A   
 39.9999 eV    1.577E-02  2.343E-01       7 A         5 A         4 A   
 44.9999 eV    1.672E-02  2.493E-01       7 A         6 A         4 A   
 49.9999 eV    1.763E-02  2.633E-01       8 A         6 A         4 A   
 54.9999 eV    1.849E-02  2.766E-01       8 A         6 A         5 A   
 59.9999 eV    1.931E-02  2.891E-01       8 A         6 A         5 A   
 64.9999 eV    2.010E-02  3.011E-01       9 A         7 A         5 A   
 69.9999 eV    2.086E-02  3.125E-01       9 A         7 A         5 A   
 79.9999 eV    2.230E-02  3.339E-01       9 A         7 A         5 A   
 89.9999 eV    2.365E-02  3.536E-01      10 A         8 A         6 A   
 99.9999 eV    2.493E-02  3.720E-01      10 A         8 A         6 A   
     110 eV    2.614E-02  3.892E-01      11 A         8 A         6 A   
    120 eV    2.731E-02  4.055E-01      11 A         9 A         6 A   
    130 eV    2.842E-02  4.208E-01      12 A         9 A         7 A   
 139.999 eV    2.949E-02  4.354E-01      12 A         9 A         7 A   
 149.999 eV    3.053E-02  4.492E-01      13 A        10 A         7 A   
 159.999 eV    3.153E-02  4.625E-01      13 A        10 A         7 A   
 169.999 eV    3.250E-02  4.751E-01      14 A        10 A         8 A   
 179.999 eV    3.344E-02  4.873E-01      14 A        11 A         8 A   
 199.999 eV    3.525E-02  5.102E-01      15 A        11 A         8 A   
 224.999 eV    3.739E-02  5.366E-01      16 A        12 A         9 A   
 249.999 eV    3.941E-02  5.608E-01      17 A        13 A         9 A   
 274.999 eV    4.134E-02  5.833E-01      18 A        13 A         9 A   
 299.999 eV    4.318E-02  6.042E-01      18 A        14 A        10 A   
 324.999 eV    4.494E-02  6.238E-01      19 A        14 A        10 A   
 349.999 eV    4.663E-02  6.423E-01      20 A        15 A        10 A   
 374.999 eV    4.827E-02  6.597E-01      21 A        15 A        11 A   
 399.999 eV    4.985E-02  6.761E-01      22 A        16 A        11 A   
 449.999 eV    5.288E-02  7.066E-01      23 A        17 A        12 A   
 499.999 eV    5.574E-02  7.343E-01      25 A        18 A        13 A   
 549.999 eV    5.846E-02  7.597E-01      26 A        18 A        13 A   
 599.999 eV    6.106E-02  7.831E-01      27 A        19 A        14 A   
 649.999 eV    6.355E-02  8.049E-01      29 A        20 A        14 A   
 699.999 eV    6.595E-02  8.251E-01      30 A        21 A        15 A   
 799.999 eV    7.051E-02  8.617E-01      33 A        22 A        16 A   
 899.999 eV    7.478E-02  8.942E-01      35 A        24 A        17 A   
 999.999 eV    7.883E-02  9.233E-01      38 A        25 A        18 A   
   1.10 keV   8.267E-02  9.496E-01      40 A        27 A        19 A   
   1.20 keV   8.635E-02  9.734E-01      42 A        28 A        20 A   
   1.30 keV   8.988E-02  9.953E-01      44 A        29 A        21 A   
   1.40 keV   9.327E-02  1.015E+00      47 A        31 A        22 A   
   1.50 keV   9.654E-02  1.034E+00      49 A        32 A        23 A   
   1.60 keV   9.971E-02  1.051E+00      51 A        33 A        24 A   
   1.70 keV   1.028E-01  1.067E+00      53 A        34 A        25 A   
   1.80 keV   1.058E-01  1.082E+00      55 A        35 A        26 A   
   2.00 keV   1.115E-01  1.109E+00      59 A        38 A        27 A   
   2.25 keV   1.182E-01  1.139E+00      65 A        40 A        29 A   
   2.50 keV   1.246E-01  1.164E+00      70 A        43 A        31 A   
   2.75 keV   1.307E-01  1.187E+00      75 A        46 A        33 A   
   3.00 keV   1.365E-01  1.206E+00      79 A        48 A        35 A   
   3.25 keV   1.421E-01  1.224E+00      84 A        51 A        37 A   
   3.50 keV   1.475E-01  1.239E+00      89 A        53 A        39 A   
   3.75 keV   1.526E-01  1.253E+00      94 A        56 A        40 A   
   4.00 keV   1.577E-01  1.266E+00      98 A        58 A        42 A   
   4.50 keV   1.672E-01  1.287E+00     108 A        63 A        46 A   
   5.00 keV   1.763E-01  1.305E+00     117 A        68 A        49 A   
   5.50 keV   1.849E-01  1.319E+00     126 A        72 A        52 A   
   6.00 keV   1.931E-01  1.331E+00     135 A        77 A        55 A   
   6.50 keV   2.010E-01  1.341E+00     144 A        81 A        58 A   
   7.00 keV   2.086E-01  1.349E+00     153 A        86 A        62 A   
   8.00 keV   2.230E-01  1.360E+00     170 A        94 A        68 A   
   9.00 keV   2.365E-01  1.368E+00     188 A       103 A        74 A   
  10.00 keV   2.493E-01  1.372E+00     206 A       111 A        79 A   
  11.00 keV   2.614E-01  1.373E+00     223 A       120 A        85 A   
  12.00 keV   2.731E-01  1.373E+00     241 A       128 A        91 A   
  13.00 keV   2.842E-01  1.371E+00     258 A       136 A        97 A   
  14.00 keV   2.949E-01  1.368E+00     276 A       144 A       102 A   
  15.00 keV   3.053E-01  1.364E+00     294 A       152 A       108 A   
  16.00 keV   3.153E-01  1.359E+00     311 A       160 A       113 A   
  17.00 keV   3.250E-01  1.354E+00     329 A       168 A       119 A   
  18.00 keV   3.344E-01  1.348E+00     347 A       176 A       124 A   
  20.00 keV   3.525E-01  1.335E+00     382 A       192 A       135 A   
  22.50 keV   3.739E-01  1.317E+00     427 A       211 A       148 A   
  25.00 keV   3.941E-01  1.298E+00     472 A       230 A       161 A   
  27.50 keV   4.134E-01  1.279E+00     518 A       249 A       174 A   
  30.00 keV   4.318E-01  1.260E+00     564 A       268 A       187 A   
  32.50 keV   4.494E-01  1.241E+00     610 A       287 A       200 A   
  35.00 keV   4.663E-01  1.223E+00     657 A       305 A       213 A   
  37.50 keV   4.827E-01  1.204E+00     704 A       324 A       226 A   
  40.00 keV   4.985E-01  1.186E+00     751 A       342 A       239 A   
  45.00 keV   5.288E-01  1.152E+00     847 A       378 A       265 A   
  50.00 keV   5.820E-01  1.119E+00     942 A       413 A       291 A   
  55.00 keV   6.567E-01  1.088E+00    1037 A       446 A       318 A   
  60.00 keV   7.146E-01  1.059E+00    1130 A       477 A       344 A   
  65.00 keV   7.596E-01  1.031E+00    1223 A       507 A       369 A   
  70.00 keV   7.950E-01  1.005E+00    1316 A       537 A       394 A   
  80.00 keV   8.469E-01  9.574E-01    1503 A       595 A       443 A   
  90.00 keV   8.850E-01  9.146E-01    1693 A       652 A       491 A   
 100.00 keV   9.170E-01  8.760E-01    1885 A       707 A       537 A   
 110.00 keV   9.467E-01  8.411E-01    2080 A       762 A       583 A   
 120.00 keV   9.756E-01  8.093E-01    2276 A       815 A       629 A   
 130.00 keV   1.005E+00  7.802E-01    2475 A       867 A       674 A   
 140.00 keV   1.034E+00  7.535E-01    2674 A       918 A       719 A   
 150.00 keV   1.064E+00  7.288E-01    2874 A       968 A       764 A   
 160.00 keV   1.095E+00  7.060E-01    3075 A      1016 A       808 A   
 170.00 keV   1.126E+00  6.848E-01    3275 A      1062 A       852 A   
 180.00 keV   1.159E+00  6.651E-01    3475 A      1108 A       896 A   
 200.00 keV   1.226E+00  6.294E-01    3873 A      1195 A       981 A   
 225.00 keV   1.313E+00  5.906E-01    4364 A      1296 A      1085 A   
 250.00 keV   1.405E+00  5.570E-01    4846 A      1389 A      1184 A   
 275.00 keV   1.499E+00  5.275E-01    5316 A      1474 A      1280 A   
 300.00 keV   1.595E+00  5.015E-01    5774 A      1553 A      1370 A   
 325.00 keV   1.693E+00  4.783E-01    6220 A      1625 A      1456 A   
 350.00 keV   1.792E+00  4.575E-01    6653 A      1691 A      1537 A   
 375.00 keV   1.892E+00  4.386E-01    7072 A      1752 A      1614 A   
 400.00 keV   1.992E+00  4.215E-01    7480 A      1808 A      1687 A   
 450.00 keV   2.194E+00  3.915E-01    8259 A      1908 A      1821 A   
 500.00 keV   2.396E+00  3.660E-01    8993 A      1994 A      1941 A   
 550.00 keV   2.596E+00  3.440E-01    9687 A      2068 A      2049 A   
 600.00 keV   2.795E+00  3.248E-01    1.03 um     2133 A      2146 A   
 650.00 keV   2.990E+00  3.080E-01    1.10 um     2190 A      2234 A   
 700.00 keV   3.182E+00  2.930E-01    1.16 um     2240 A      2314 A   
 800.00 keV   3.555E+00  2.674E-01    1.27 um     2327 A      2454 A   
 900.00 keV   3.912E+00  2.465E-01    1.37 um     2397 A      2573 A   
   1.00 MeV   4.253E+00  2.289E-01    1.46 um     2455 A      2675 A   
   1.10 MeV   4.577E+00  2.139E-01    1.55 um     2504 A      2763 A   
   1.20 MeV   4.884E+00  2.010E-01    1.64 um     2545 A      2841 A   
   1.30 MeV   5.176E+00  1.897E-01    1.72 um     2582 A      2911 A   
   1.40 MeV   5.452E+00  1.797E-01    1.79 um     2613 A      2973 A   
   1.50 MeV   5.715E+00  1.708E-01    1.87 um     2642 A      3029 A   
   1.60 MeV   5.964E+00  1.629E-01    1.93 um     2667 A      3080 A   
   1.70 MeV   6.199E+00  1.558E-01    2.00 um     2689 A      3127 A   
   1.80 MeV   6.423E+00  1.493E-01    2.07 um     2710 A      3171 A   
   2.00 MeV   6.837E+00  1.379E-01    2.19 um     2749 A      3248 A   
   2.25 MeV   7.298E+00  1.262E-01    2.34 um     2791 A      3331 A   
   2.50 MeV   7.705E+00  1.164E-01    2.48 um     2827 A      3403 A   
   2.75 MeV   8.065E+00  1.082E-01    2.61 um     2858 A      3466 A   
   3.00 MeV   8.385E+00  1.012E-01    2.74 um     2885 A      3522 A   
   3.25 MeV   8.670E+00  9.509E-02    2.86 um     2910 A      3572 A   
   3.50 MeV   8.924E+00  8.975E-02    2.98 um     2932 A      3619 A   
   3.75 MeV   9.152E+00  8.503E-02    3.10 um     2952 A      3661 A   
   4.00 MeV   9.357E+00  8.082E-02    3.21 um     2971 A      3700 A   
   4.50 MeV   9.708E+00  7.364E-02    3.43 um     3012 A      3771 A   
   5.00 MeV   9.996E+00  6.772E-02    3.65 um     3050 A      3834 A   
   5.50 MeV   1.023E+01  6.275E-02    3.86 um     3084 A      3891 A   
   6.00 MeV   1.043E+01  5.852E-02    4.07 um     3115 A      3943 A   
   6.50 MeV   1.060E+01  5.486E-02    4.27 um     3144 A      3991 A   
   7.00 MeV   1.074E+01  5.167E-02    4.47 um     3172 A      4035 A   
   8.00 MeV   1.096E+01  4.636E-02    4.86 um     3246 A      4117 A   
   9.00 MeV   1.112E+01  4.210E-02    5.25 um     3316 A      4191 A   
  10.00 MeV   1.123E+01  3.862E-02    5.63 um     3381 A      4259 A   
  11.00 MeV   1.132E+01  3.570E-02    6.01 um     3443 A      4322 A   
  12.00 MeV   1.138E+01  3.322E-02    6.39 um     3502 A      4381 A   
  13.00 MeV   1.143E+01  3.109E-02    6.77 um     3559 A      4438 A   
  14.00 MeV   1.146E+01  2.923E-02    7.14 um     3614 A      4492 A   
  15.00 MeV   1.148E+01  2.760E-02    7.51 um     3668 A      4544 A   
  16.00 MeV   1.149E+01  2.615E-02    7.89 um     3721 A      4594 A   
  17.00 MeV   1.149E+01  2.486E-02    8.26 um     3772 A      4642 A   
  18.00 MeV   1.148E+01  2.369E-02    8.64 um     3823 A      4689 A   
  20.00 MeV   1.146E+01  2.168E-02    9.38 um     3992 A      4780 A   
  22.50 MeV   1.141E+01  1.963E-02   10.32 um     4236 A      4889 A   
  25.00 MeV   1.134E+01  1.796E-02   11.27 um     4468 A      4993 A   
  27.50 MeV   1.125E+01  1.656E-02   12.22 um     4692 A      5094 A   
  30.00 MeV   1.116E+01  1.538E-02   13.18 um     4908 A      5193 A   
  32.50 MeV   1.106E+01  1.437E-02   14.15 um     5118 A      5290 A   
  35.00 MeV   1.095E+01  1.348E-02   15.12 um     5323 A      5386 A   
  37.50 MeV   1.084E+01  1.271E-02   16.11 um     5524 A      5480 A   
  40.00 MeV   1.072E+01  1.203E-02   17.11 um     5723 A      5574 A   
  45.00 MeV   1.049E+01  1.087E-02   19.13 um     6439 A      5760 A   
  50.00 MeV   1.026E+01  9.926E-03   21.21 um     7110 A      5946 A   
  55.00 MeV   9.964E+00  9.142E-03   23.34 um     7754 A      6132 A   
  60.00 MeV   9.647E+00  8.479E-03   25.53 um     8385 A      6321 A   
  65.00 MeV   9.383E+00  7.911E-03   27.79 um     9006 A      6513 A   
  70.00 MeV   9.130E+00  7.418E-03   30.12 um     9619 A      6708 A   
  80.00 MeV   8.652E+00  6.605E-03   34.96 um     1.19 um     7111 A   
  90.00 MeV   8.214E+00  5.960E-03   40.07 um     1.39 um     7531 A   
 100.00 MeV   7.813E+00  5.436E-03   45.44 um     1.59 um     7970 A   
 110.00 MeV   7.447E+00  5.000E-03   51.09 um     1.79 um     8429 A   
 120.00 MeV   7.112E+00  4.633E-03   57.00 um     1.98 um     8909 A   
 130.00 MeV   6.805E+00  4.319E-03   63.19 um     2.17 um     9411 A   
 140.00 MeV   6.523E+00  4.046E-03   69.65 um     2.36 um     9935 A   
 150.00 MeV   6.263E+00  3.808E-03   76.39 um     2.55 um     1.05 um  
 160.00 MeV   6.025E+00  3.597E-03   83.40 um     2.74 um     1.10 um  
 170.00 MeV   5.804E+00  3.410E-03   90.68 um     2.93 um     1.16 um  
 180.00 MeV   5.600E+00  3.242E-03   98.24 um     3.13 um     1.22 um  
 200.00 MeV   5.234E+00  2.953E-03  114.14 um     3.86 um     1.35 um  
 225.00 MeV   4.845E+00  2.661E-03  135.53 um     4.92 um     1.53 um  
 250.00 MeV   4.514E+00  2.423E-03  158.55 um     5.91 um     1.71 um  
 275.00 MeV   4.230E+00  2.227E-03  183.19 um     6.88 um     1.91 um  
 300.00 MeV   3.984E+00  2.061E-03  209.42 um     7.83 um     2.12 um  
 325.00 MeV   3.769E+00  1.919E-03  237.21 um     8.77 um     2.35 um  
 350.00 MeV   3.578E+00  1.796E-03  266.52 um     9.72 um     2.58 um  
 375.00 MeV   3.409E+00  1.689E-03  297.35 um    10.67 um     2.83 um  
 400.00 MeV   3.256E+00  1.594E-03  329.67 um    11.62 um     3.09 um  
 450.00 MeV   2.992E+00  1.435E-03  398.68 um    15.21 um     3.63 um  
 500.00 MeV   2.771E+00  1.306E-03  473.47 um    18.56 um     4.22 um  
 550.00 MeV   2.582E+00  1.199E-03  553.99 um    21.81 um     4.85 um  
 600.00 MeV   2.417E+00  1.109E-03  640.20 um    25.02 um     5.53 um  
 650.00 MeV   2.272E+00  1.032E-03  732.11 um    28.23 um     6.24 um  
 700.00 MeV   2.142E+00  9.652E-04  829.75 um    31.47 um     6.99 um  
 800.00 MeV   1.928E+00  8.559E-04    1.04 mm    43.55 um     8.62 um  
 900.00 MeV   1.759E+00  7.696E-04    1.28 mm    54.77 um    10.40 um  
   1.00 GeV   1.620E+00  6.998E-04    1.53 mm    65.69 um    12.34 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  2.3676E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler

