==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 09, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Electronic_Stopping_Power_Na_on_Si.txt

 Ion = Sodium [11] , Mass = 22.99 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
 5.49999 eV    6.794E-03  7.311E-02       3 A         2 A         2 A   
 5.99999 eV    7.096E-03  7.705E-02       3 A         2 A         2 A   
 6.49999 eV    7.386E-03  8.085E-02       3 A         3 A         2 A   
 6.99999 eV    7.665E-03  8.452E-02       3 A         3 A         2 A   
 7.99999 eV    8.194E-03  9.151E-02       3 A         3 A         2 A   
 8.99999 eV    8.691E-03  9.809E-02       4 A         3 A         2 A   
 9.99999 eV    9.161E-03  1.043E-01       4 A         3 A         2 A   
 10.9999 eV    9.609E-03  1.103E-01       4 A         3 A         2 A   
 11.9999 eV    1.004E-02  1.160E-01       4 A         3 A         3 A   
 12.9999 eV    1.045E-02  1.215E-01       4 A         3 A         3 A   
 13.9999 eV    1.084E-02  1.267E-01       4 A         4 A         3 A   
 14.9999 eV    1.122E-02  1.318E-01       5 A         4 A         3 A   
 15.9999 eV    1.159E-02  1.367E-01       5 A         4 A         3 A   
 16.9999 eV    1.195E-02  1.415E-01       5 A         4 A         3 A   
 17.9999 eV    1.229E-02  1.461E-01       5 A         4 A         3 A   
 19.9999 eV    1.296E-02  1.550E-01       5 A         4 A         3 A   
 22.4999 eV    1.374E-02  1.654E-01       5 A         4 A         3 A   
 24.9999 eV    1.449E-02  1.752E-01       6 A         5 A         3 A   
 27.4999 eV    1.519E-02  1.845E-01       6 A         5 A         4 A   
 29.9999 eV    1.587E-02  1.934E-01       6 A         5 A         4 A   
 32.4999 eV    1.652E-02  2.019E-01       6 A         5 A         4 A   
 34.9999 eV    1.714E-02  2.100E-01       6 A         5 A         4 A   
 37.4999 eV    1.774E-02  2.178E-01       7 A         5 A         4 A   
 39.9999 eV    1.832E-02  2.253E-01       7 A         6 A         4 A   
 44.9999 eV    1.943E-02  2.395E-01       7 A         6 A         4 A   
 49.9999 eV    2.049E-02  2.529E-01       8 A         6 A         5 A   
 54.9999 eV    2.149E-02  2.654E-01       8 A         6 A         5 A   
 59.9999 eV    2.244E-02  2.773E-01       8 A         7 A         5 A   
 64.9999 eV    2.336E-02  2.886E-01       9 A         7 A         5 A   
 69.9999 eV    2.424E-02  2.994E-01       9 A         7 A         5 A   
 79.9999 eV    2.591E-02  3.196E-01       9 A         7 A         6 A   
 89.9999 eV    2.748E-02  3.382E-01      10 A         8 A         6 A   
 99.9999 eV    2.897E-02  3.556E-01      11 A         8 A         6 A   
     110 eV    3.039E-02  3.718E-01      11 A         9 A         6 A   
    120 eV    3.174E-02  3.870E-01      12 A         9 A         7 A   
    130 eV    3.303E-02  4.014E-01      12 A         9 A         7 A   
 139.999 eV    3.428E-02  4.151E-01      13 A        10 A         7 A   
 149.999 eV    3.548E-02  4.281E-01      13 A        10 A         7 A   
 159.999 eV    3.665E-02  4.404E-01      13 A        10 A         8 A   
 169.999 eV    3.777E-02  4.523E-01      14 A        11 A         8 A   
 179.999 eV    3.887E-02  4.636E-01      14 A        11 A         8 A   
 199.999 eV    4.097E-02  4.850E-01      15 A        11 A         8 A   
 224.999 eV    4.346E-02  5.096E-01      16 A        12 A         9 A   
 249.999 eV    4.581E-02  5.321E-01      17 A        13 A         9 A   
 274.999 eV    4.804E-02  5.530E-01      18 A        13 A        10 A   
 299.999 eV    5.018E-02  5.724E-01      19 A        14 A        10 A   
 324.999 eV    5.223E-02  5.905E-01      20 A        15 A        10 A   
 349.999 eV    5.420E-02  6.076E-01      21 A        15 A        11 A   
 374.999 eV    5.610E-02  6.236E-01      21 A        16 A        11 A   
 399.999 eV    5.794E-02  6.388E-01      22 A        16 A        12 A   
 449.999 eV    6.146E-02  6.668E-01      24 A        17 A        12 A   
 499.999 eV    6.478E-02  6.923E-01      25 A        18 A        13 A   
 549.999 eV    6.794E-02  7.155E-01      27 A        19 A        14 A   
 599.999 eV    7.096E-02  7.369E-01      28 A        20 A        14 A   
 649.999 eV    7.386E-02  7.567E-01      30 A        21 A        15 A   
 699.999 eV    7.665E-02  7.751E-01      31 A        22 A        15 A   
 799.999 eV    8.194E-02  8.084E-01      34 A        23 A        17 A   
 899.999 eV    8.691E-02  8.379E-01      36 A        25 A        18 A   
 999.999 eV    9.161E-02  8.641E-01      39 A        26 A        19 A   
   1.10E3 keV   9.609E-02  8.877E-01      41 A        28 A        20 A   
   1.20E3 keV   1.004E-01  9.092E-01      44 A        29 A        21 A   
   1.30E3 keV   1.045E-01  9.287E-01      46 A        30 A        22 A   
   1.40E3 keV   1.084E-01  9.467E-01      48 A        32 A        23 A   
   1.50E3 keV   1.122E-01  9.632E-01      51 A        33 A        24 A   
   1.60E3 keV   1.159E-01  9.785E-01      53 A        34 A        25 A   
   1.70E3 keV   1.195E-01  9.927E-01      55 A        36 A        26 A   
   1.80E3 keV   1.229E-01  1.006E+00      57 A        37 A        27 A   
   2.00E3 keV   1.296E-01  1.030E+00      62 A        39 A        28 A   
   2.25E3 keV   1.374E-01  1.056E+00      67 A        42 A        30 A   
   2.50E3 keV   1.449E-01  1.078E+00      72 A        45 A        32 A   
   2.75E3 keV   1.519E-01  1.097E+00      78 A        48 A        35 A   
   3.00E3 keV   1.587E-01  1.114E+00      83 A        50 A        36 A   
   3.25E3 keV   1.652E-01  1.129E+00      88 A        53 A        38 A   
   3.50E3 keV   1.714E-01  1.142E+00      93 A        56 A        40 A   
   3.75E3 keV   1.774E-01  1.154E+00      98 A        58 A        42 A   
   4.00E3 keV   1.832E-01  1.164E+00     103 A        61 A        44 A   
   4.50E3 keV   1.943E-01  1.182E+00     112 A        66 A        48 A   
   5.00E3 keV   2.049E-01  1.196E+00     122 A        71 A        51 A   
   5.50E3 keV   2.149E-01  1.207E+00     132 A        76 A        55 A   
   6.00E3 keV   2.244E-01  1.216E+00     141 A        80 A        58 A   
   6.50E3 keV   2.336E-01  1.224E+00     151 A        85 A        61 A   
   7.00E3 keV   2.424E-01  1.229E+00     160 A        90 A        65 A   
   8.00E3 keV   2.591E-01  1.237E+00     179 A        99 A        71 A   
   9.00E3 keV   2.748E-01  1.241E+00     198 A       108 A        77 A   
  10.00E3 keV   2.897E-01  1.242E+00     216 A       117 A        83 A   
  11.00E3 keV   3.039E-01  1.241E+00     235 A       126 A        90 A   
  12.00E3 keV   3.174E-01  1.239E+00     254 A       134 A        96 A   
  13.00E3 keV   3.303E-01  1.235E+00     272 A       143 A       102 A   
  14.00E3 keV   3.428E-01  1.231E+00     291 A       151 A       107 A   
  15.00E3 keV   3.548E-01  1.225E+00     310 A       160 A       113 A   
  16.00E3 keV   3.665E-01  1.219E+00     329 A       168 A       119 A   
  17.00E3 keV   3.777E-01  1.213E+00     347 A       176 A       125 A   
  18.00E3 keV   3.887E-01  1.206E+00     366 A       185 A       130 A   
  20.00E3 keV   4.097E-01  1.192E+00     404 A       201 A       142 A   
  22.50E3 keV   4.346E-01  1.173E+00     452 A       221 A       156 A   
  25.00E3 keV   4.581E-01  1.153E+00     499 A       241 A       170 A   
  27.50E3 keV   4.804E-01  1.134E+00     548 A       260 A       183 A   
  30.00E3 keV   5.018E-01  1.115E+00     596 A       279 A       197 A   
  32.50E3 keV   5.223E-01  1.096E+00     645 A       298 A       211 A   
  35.00E3 keV   5.420E-01  1.077E+00     694 A       317 A       224 A   
  37.50E3 keV   5.610E-01  1.060E+00     743 A       336 A       238 A   
  40.00E3 keV   5.794E-01  1.042E+00     793 A       354 A       251 A   
  45.00E3 keV   6.146E-01  1.009E+00     893 A       390 A       278 A   
  50.00E3 keV   6.822E-01  9.777E-01     993 A       425 A       305 A   
  55.00E3 keV   7.425E-01  9.486E-01    1091 A       458 A       332 A   
  60.00E3 keV   7.896E-01  9.213E-01    1189 A       489 A       359 A   
  65.00E3 keV   8.271E-01  8.957E-01    1286 A       519 A       384 A   
  70.00E3 keV   8.577E-01  8.717E-01    1384 A       549 A       410 A   
  80.00E3 keV   9.064E-01  8.278E-01    1581 A       608 A       460 A   
  90.00E3 keV   9.470E-01  7.889E-01    1781 A       664 A       508 A   
 100.00E3 keV   9.844E-01  7.539E-01    1982 A       719 A       556 A   
 110.00E3 keV   1.021E+00  7.225E-01    2185 A       773 A       602 A   
 120.00E3 keV   1.057E+00  6.940E-01    2388 A       824 A       649 A   
 130.00E3 keV   1.093E+00  6.680E-01    2592 A       874 A       694 A   
 140.00E3 keV   1.128E+00  6.442E-01    2796 A       922 A       739 A   
 150.00E3 keV   1.164E+00  6.223E-01    3000 A       969 A       784 A   
 160.00E3 keV   1.200E+00  6.021E-01    3203 A      1014 A       827 A   
 170.00E3 keV   1.237E+00  5.834E-01    3405 A      1058 A       871 A   
 180.00E3 keV   1.273E+00  5.661E-01    3606 A      1099 A       913 A   
 200.00E3 keV   1.346E+00  5.347E-01    4004 A      1179 A       995 A   
 225.00E3 keV   1.439E+00  5.008E-01    4494 A      1271 A      1094 A   
 250.00E3 keV   1.532E+00  4.715E-01    4972 A      1355 A      1188 A   
 275.00E3 keV   1.626E+00  4.460E-01    5438 A      1432 A      1277 A   
 300.00E3 keV   1.720E+00  4.234E-01    5892 A      1502 A      1361 A   
 325.00E3 keV   1.814E+00  4.034E-01    6334 A      1567 A      1441 A   
 350.00E3 keV   1.909E+00  3.854E-01    6763 A      1626 A      1516 A   
 375.00E3 keV   2.003E+00  3.692E-01    7180 A      1681 A      1587 A   
 400.00E3 keV   2.097E+00  3.545E-01    7586 A      1731 A      1655 A   
 450.00E3 keV   2.285E+00  3.288E-01    8363 A      1822 A      1779 A   
 500.00E3 keV   2.471E+00  3.070E-01    9099 A      1900 A      1890 A   
 550.00E3 keV   2.654E+00  2.882E-01    9798 A      1968 A      1990 A   
 600.00E3 keV   2.835E+00  2.719E-01    1.05 um     2028 A      2081 A   
 650.00E3 keV   3.013E+00  2.576E-01    1.11 um     2080 A      2163 A   
 700.00E3 keV   3.187E+00  2.448E-01    1.17 um     2127 A      2238 A   
 800.00E3 keV   3.525E+00  2.232E-01    1.28 um     2209 A      2371 A   
 900.00E3 keV   3.849E+00  2.055E-01    1.39 um     2275 A      2484 A   
   1.00E6 MeV   4.158E+00  1.906E-01    1.49 um     2331 A      2582 A   
   1.10E6 MeV   4.453E+00  1.780E-01    1.58 um     2377 A      2667 A   
   1.20E6 MeV   4.733E+00  1.671E-01    1.67 um     2418 A      2743 A   
   1.30E6 MeV   5.000E+00  1.576E-01    1.75 um     2453 A      2810 A   
   1.40E6 MeV   5.253E+00  1.493E-01    1.83 um     2484 A      2871 A   
   1.50E6 MeV   5.493E+00  1.418E-01    1.91 um     2512 A      2926 A   
   1.60E6 MeV   5.722E+00  1.352E-01    1.98 um     2536 A      2976 A   
   1.70E6 MeV   5.939E+00  1.292E-01    2.05 um     2559 A      3022 A   
   1.80E6 MeV   6.145E+00  1.238E-01    2.12 um     2579 A      3065 A   
   2.00E6 MeV   6.526E+00  1.143E-01    2.25 um     2618 A      3142 A   
   2.25E6 MeV   6.950E+00  1.045E-01    2.40 um     2661 A      3224 A   
   2.50E6 MeV   7.324E+00  9.634E-02    2.55 um     2697 A      3296 A   
   2.75E6 MeV   7.653E+00  8.949E-02    2.69 um     2729 A      3358 A   
   3.00E6 MeV   7.944E+00  8.364E-02    2.82 um     2757 A      3415 A   
   3.25E6 MeV   8.202E+00  7.856E-02    2.96 um     2782 A      3465 A   
   3.50E6 MeV   8.430E+00  7.412E-02    3.08 um     2805 A      3512 A   
   3.75E6 MeV   8.633E+00  7.020E-02    3.21 um     2826 A      3555 A   
   4.00E6 MeV   8.813E+00  6.670E-02    3.33 um     2845 A      3594 A   
   4.50E6 MeV   9.118E+00  6.074E-02    3.56 um     2890 A      3666 A   
   5.00E6 MeV   9.362E+00  5.583E-02    3.79 um     2930 A      3731 A   
   5.50E6 MeV   9.558E+00  5.171E-02    4.02 um     2967 A      3789 A   
   6.00E6 MeV   9.717E+00  4.820E-02    4.24 um     3002 A      3842 A   
   6.50E6 MeV   9.846E+00  4.517E-02    4.46 um     3034 A      3892 A   
   7.00E6 MeV   9.950E+00  4.253E-02    4.67 um     3065 A      3938 A   
   8.00E6 MeV   1.011E+01  3.814E-02    5.10 um     3151 A      4023 A   
   9.00E6 MeV   1.021E+01  3.462E-02    5.52 um     3231 A      4101 A   
  10.00E6 MeV   1.027E+01  3.174E-02    5.94 um     3307 A      4173 A   
  11.00E6 MeV   1.031E+01  2.934E-02    6.36 um     3379 A      4241 A   
  12.00E6 MeV   1.034E+01  2.729E-02    6.77 um     3449 A      4304 A   
  13.00E6 MeV   1.034E+01  2.553E-02    7.19 um     3517 A      4366 A   
  14.00E6 MeV   1.034E+01  2.400E-02    7.60 um     3583 A      4424 A   
  15.00E6 MeV   1.033E+01  2.266E-02    8.02 um     3647 A      4481 A   
  16.00E6 MeV   1.031E+01  2.146E-02    8.43 um     3710 A      4536 A   
  17.00E6 MeV   1.029E+01  2.040E-02    8.85 um     3772 A      4589 A   
  18.00E6 MeV   1.026E+01  1.944E-02    9.27 um     3833 A      4642 A   
  20.00E6 MeV   1.020E+01  1.778E-02   10.11 um     4041 A      4743 A   
  22.50E6 MeV   1.011E+01  1.610E-02   11.16 um     4341 A      4865 A   
  25.00E6 MeV   1.000E+01  1.472E-02   12.23 um     4625 A      4984 A   
  27.50E6 MeV   9.896E+00  1.357E-02   13.31 um     4899 A      5100 A   
  30.00E6 MeV   9.782E+00  1.260E-02   14.40 um     5163 A      5214 A   
  32.50E6 MeV   9.665E+00  1.177E-02   15.51 um     5420 A      5326 A   
  35.00E6 MeV   9.546E+00  1.104E-02   16.63 um     5671 A      5438 A   
  37.50E6 MeV   9.427E+00  1.041E-02   17.76 um     5917 A      5549 A   
  40.00E6 MeV   9.307E+00  9.847E-03   18.91 um     6159 A      5659 A   
  45.00E6 MeV   9.069E+00  8.896E-03   21.25 um     7035 A      5880 A   
  50.00E6 MeV   8.828E+00  8.123E-03   23.66 um     7853 A      6102 A   
  55.00E6 MeV   8.509E+00  7.479E-03   26.14 um     8639 A      6326 A   
  60.00E6 MeV   8.250E+00  6.936E-03   28.71 um     9409 A      6555 A   
  65.00E6 MeV   8.006E+00  6.470E-03   31.35 um     1.02 um     6788 A   
  70.00E6 MeV   7.773E+00  6.066E-03   34.08 um     1.09 um     7026 A   
  80.00E6 MeV   7.341E+00  5.399E-03   39.78 um     1.36 um     7519 A   
  90.00E6 MeV   6.949E+00  4.871E-03   45.81 um     1.61 um     8036 A   
 100.00E6 MeV   6.594E+00  4.442E-03   52.17 um     1.85 um     8577 A   
 110.00E6 MeV   6.271E+00  4.085E-03   58.87 um     2.09 um     9144 A   
 120.00E6 MeV   5.978E+00  3.785E-03   65.90 um     2.32 um     9738 A   
 130.00E6 MeV   5.712E+00  3.527E-03   73.27 um     2.55 um     1.04 um  
 140.00E6 MeV   5.468E+00  3.304E-03   80.97 um     2.78 um     1.10 um  
 150.00E6 MeV   5.244E+00  3.109E-03   89.01 um     3.01 um     1.17 um  
 160.00E6 MeV   5.039E+00  2.937E-03   97.39 um     3.24 um     1.24 um  
 170.00E6 MeV   4.851E+00  2.784E-03  106.10 um     3.47 um     1.31 um  
 180.00E6 MeV   4.676E+00  2.646E-03  115.14 um     3.71 um     1.39 um  
 200.00E6 MeV   4.365E+00  2.411E-03  134.20 um     4.60 um     1.55 um  
 225.00E6 MeV   4.035E+00  2.171E-03  159.86 um     5.87 um     1.76 um  
 250.00E6 MeV   3.757E+00  1.977E-03  187.51 um     7.07 um     1.99 um  
 275.00E6 MeV   3.518E+00  1.816E-03  217.13 um     8.24 um     2.23 um  
 300.00E6 MeV   3.312E+00  1.681E-03  248.68 um     9.38 um     2.49 um  
 325.00E6 MeV   3.132E+00  1.565E-03  282.11 um    10.52 um     2.77 um  
 350.00E6 MeV   2.973E+00  1.465E-03  317.39 um    11.67 um     3.06 um  
 375.00E6 MeV   2.832E+00  1.377E-03  354.49 um    12.81 um     3.36 um  
 400.00E6 MeV   2.706E+00  1.300E-03  393.39 um    13.96 um     3.67 um  
 450.00E6 MeV   2.488E+00  1.170E-03  476.40 um    18.28 um     4.34 um  
 500.00E6 MeV   2.307E+00  1.064E-03  566.31 um    22.31 um     5.07 um  
 550.00E6 MeV   2.152E+00  9.770E-04  662.96 um    26.20 um     5.84 um  
 600.00E6 MeV   2.019E+00  9.035E-04  766.27 um    30.04 um     6.65 um  
 650.00E6 MeV   1.903E+00  8.407E-04  876.15 um    33.87 um     7.52 um  
 700.00E6 MeV   1.799E+00  7.864E-04  992.57 um    37.71 um     8.43 um  
 800.00E6 MeV   1.620E+00  6.972E-04    1.24 mm    52.02 um    10.39 um  
 900.00E6 MeV   1.477E+00  6.269E-04    1.52 mm    65.35 um    12.53 um  
   1.00E9 GeV   1.360E+00  5.700E-04    1.83 mm    78.32 um    14.86 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  2.6076E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler

