==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 09, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Electronic_Stopping_Power_Na_on_Si.txt

 Ion = Sodium [11] , Mass = 22.99 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    3.174E-03  2.651E-02       2 A         1 A         1 A   
    1.2 eV    3.174E-03  2.806E-02       2 A         1 A         1 A   
    1.3 eV    3.303E-03  2.955E-02       2 A         1 A         1 A   
    1.4 eV    3.428E-03  3.101E-02       2 A         1 A         1 A   
    1.5 eV    3.548E-03  3.242E-02       2 A         1 A         1 A   
    1.6 eV    3.665E-03  3.380E-02       2 A         1 A         1 A   
    1.7 eV    3.777E-03  3.514E-02       2 A         1 A         1 A   
    1.8 eV    3.887E-03  3.645E-02       2 A         1 A         1 A   
      2 eV    4.097E-03  3.898E-02       2 A         1 A         1 A   
   2.25 eV    4.346E-03  4.201E-02       2 A         2 A         1 A   
 2.49999 eV    4.581E-03  4.490E-02       2 A         2 A         1 A   
 2.74999 eV    4.804E-03  4.768E-02       2 A         2 A         1 A   
 2.99999 eV    5.018E-03  5.035E-02       2 A         2 A         1 A   
 3.24999 eV    5.223E-03  5.292E-02       2 A         2 A         1 A   
 3.49999 eV    5.420E-03  5.542E-02       3 A         2 A         1 A   
 3.74999 eV    5.610E-03  5.783E-02       3 A         2 A         2 A   
 3.99999 eV    5.794E-03  6.018E-02       3 A         2 A         2 A   
 4.49999 eV    6.146E-03  6.470E-02       3 A         2 A         2 A   
 4.99999 eV    6.478E-03  6.900E-02       3 A         2 A         2 A   
