             SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 09, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Lithium in Silicon.txt

 Ion = Lithium [3] , Mass = 7.016 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
 5.99999 eV    6.643E-03  2.978E-02       3 A         4 A         3 A   
 6.49999 eV    6.914E-03  3.106E-02       3 A         5 A         3 A   
 6.99999 eV    7.175E-03  3.229E-02       4 A         5 A         4 A   
 7.99999 eV    7.671E-03  3.459E-02       4 A         5 A         4 A   
 8.99999 eV    8.136E-03  3.673E-02       4 A         5 A         4 A   
 9.99999 eV    8.576E-03  3.873E-02       4 A         6 A         4 A   
 10.9999 eV    8.995E-03  4.061E-02       4 A         6 A         4 A   
 11.9999 eV    9.395E-03  4.239E-02       5 A         6 A         4 A   
 12.9999 eV    9.778E-03  4.408E-02       5 A         6 A         5 A   
 13.9999 eV    1.015E-02  4.569E-02       5 A         6 A         5 A   
 14.9999 eV    1.050E-02  4.722E-02       5 A         7 A         5 A   
 15.9999 eV    1.085E-02  4.869E-02       5 A         7 A         5 A   
 16.9999 eV    1.118E-02  5.010E-02       6 A         7 A         5 A   
 17.9999 eV    1.151E-02  5.145E-02       6 A         7 A         5 A   
 19.9999 eV    1.213E-02  5.401E-02       6 A         8 A         6 A   
 22.4999 eV    1.286E-02  5.698E-02       6 A         8 A         6 A   
 24.9999 eV    1.356E-02  5.973E-02       7 A         9 A         6 A   
 27.4999 eV    1.422E-02  6.228E-02       7 A         9 A         7 A   
 29.9999 eV    1.485E-02  6.468E-02       8 A         9 A         7 A   
 32.4999 eV    1.546E-02  6.693E-02       8 A        10 A         7 A   
 34.9999 eV    1.604E-02  6.905E-02       8 A        10 A         8 A   
 37.4999 eV    1.661E-02  7.106E-02       9 A        10 A         8 A   
 39.9999 eV    1.715E-02  7.298E-02       9 A        11 A         8 A   
 44.9999 eV    1.819E-02  7.654E-02       9 A        11 A         9 A   
 49.9999 eV    1.918E-02  7.980E-02      10 A        12 A         9 A   
 54.9999 eV    2.011E-02  8.280E-02      11 A        13 A        10 A   
 59.9999 eV    2.101E-02  8.559E-02      11 A        13 A        10 A   
 64.9999 eV    2.186E-02  8.819E-02      12 A        14 A        10 A   
 69.9999 eV    2.269E-02  9.062E-02      12 A        14 A        11 A   
 79.9999 eV    2.426E-02  9.507E-02      13 A        15 A        12 A   
 89.9999 eV    2.573E-02  9.904E-02      14 A        16 A        12 A   
 99.9999 eV    2.712E-02  1.026E-01      15 A        17 A        13 A   
     110 eV    2.844E-02  1.059E-01      16 A        18 A        14 A   
    120 eV    2.971E-02  1.089E-01      17 A        19 A        15 A   
    130 eV    3.092E-02  1.117E-01      18 A        20 A        15 A   
 139.999 eV    3.209E-02  1.142E-01      19 A        21 A        16 A   
 149.999 eV    3.321E-02  1.166E-01      20 A        22 A        17 A   
 159.999 eV    3.430E-02  1.188E-01      21 A        23 A        17 A   
 169.999 eV    3.536E-02  1.209E-01      22 A        23 A        18 A   
 179.999 eV    3.638E-02  1.229E-01      23 A        24 A        19 A   
 199.999 eV    3.835E-02  1.265E-01      24 A        26 A        20 A   
 224.999 eV    4.068E-02  1.305E-01      26 A        28 A        21 A   
 249.999 eV    4.288E-02  1.340E-01      28 A        30 A        23 A   
 274.999 eV    4.497E-02  1.371E-01      30 A        31 A        24 A   
 299.999 eV    4.697E-02  1.398E-01      32 A        33 A        25 A   
 324.999 eV    4.889E-02  1.424E-01      34 A        35 A        27 A   
 349.999 eV    5.074E-02  1.446E-01      36 A        36 A        28 A   
 374.999 eV    5.252E-02  1.467E-01      38 A        38 A        29 A   
 399.999 eV    5.424E-02  1.486E-01      40 A        40 A        30 A   
 449.999 eV    5.753E-02  1.519E-01      44 A        43 A        33 A   
 499.999 eV    6.064E-02  1.547E-01      47 A        46 A        35 A   
 549.999 eV    6.360E-02  1.571E-01      51 A        49 A        37 A   
 599.999 eV    6.643E-02  1.592E-01      54 A        52 A        40 A   
 649.999 eV    6.914E-02  1.610E-01      58 A        55 A        42 A   
 699.999 eV    7.175E-02  1.626E-01      62 A        58 A        44 A   
 799.999 eV    7.671E-02  1.652E-01      68 A        63 A        48 A   
 899.999 eV    8.136E-02  1.672E-01      75 A        69 A        52 A   
 999.999 eV    8.576E-02  1.687E-01      82 A        74 A        56 A   
    1.10E3 keV   8.995E-02  1.698E-01      89 A        79 A        60 A   
   1.20E3 keV   9.395E-02  1.707E-01      96 A        85 A        64 A   
   1.30E3 keV   9.778E-02  1.713E-01     102 A        90 A        67 A   
   1.40E3 keV   1.015E-01  1.717E-01     109 A        95 A        71 A   
   1.50E3 keV   1.050E-01  1.719E-01     116 A       100 A        75 A   
   1.60E3 keV   1.085E-01  1.720E-01     123 A       105 A        78 A   
   1.70E3 keV   1.118E-01  1.720E-01     129 A       110 A        81 A   
   1.80E3 keV   1.151E-01  1.719E-01     136 A       115 A        85 A   
   2.00E3 keV   1.213E-01  1.715E-01     149 A       124 A        92 A   
   2.25E3 keV   1.286E-01  1.706E-01     166 A       135 A       101 A   
   2.50E3 keV   1.356E-01  1.695E-01     183 A       146 A       109 A   
   2.75E3 keV   1.422E-01  1.682E-01     199 A       157 A       117 A   
   3.00E3 keV   1.485E-01  1.667E-01     216 A       167 A       125 A   
   3.25E3 keV   1.546E-01  1.652E-01     233 A       178 A       133 A   
   3.50E3 keV   1.604E-01  1.636E-01     250 A       188 A       141 A   
   3.75E3 keV   1.661E-01  1.620E-01     266 A       198 A       149 A   
   4.00E3 keV   1.715E-01  1.604E-01     283 A       208 A       157 A   
   4.50E3 keV   1.819E-01  1.571E-01     317 A       227 A       172 A   
   5.00E3 keV   1.918E-01  1.539E-01     351 A       246 A       187 A   
   5.50E3 keV   2.011E-01  1.507E-01     385 A       264 A       201 A   
   6.00E3 keV   2.101E-01  1.476E-01     419 A       282 A       215 A   
   6.50E3 keV   2.186E-01  1.447E-01     453 A       299 A       229 A   
   7.00E3 keV   2.269E-01  1.418E-01     487 A       316 A       243 A   
   8.00E3 keV   2.426E-01  1.364E-01     555 A       348 A       270 A   
   9.00E3 keV   2.573E-01  1.314E-01     623 A       379 A       296 A   
  10.00E3 keV   2.712E-01  1.269E-01     691 A       409 A       322 A   
  11.00E3 keV   2.844E-01  1.226E-01     759 A       437 A       346 A   
  12.00E3 keV   2.971E-01  1.187E-01     826 A       464 A       370 A   
  13.00E3 keV   3.092E-01  1.150E-01     893 A       491 A       394 A   
  14.00E3 keV   3.209E-01  1.117E-01     960 A       516 A       417 A   
  15.00E3 keV   3.328E-01  1.085E-01    1027 A       540 A       439 A   
  16.00E3 keV   3.443E-01  1.055E-01    1093 A       563 A       460 A   
  17.00E3 keV   3.553E-01  1.027E-01    1159 A       586 A       482 A   
  18.00E3 keV   3.659E-01  1.001E-01    1225 A       607 A       502 A   
  20.00E3 keV   3.858E-01  9.535E-02    1355 A       648 A       542 A   
  22.50E3 keV   4.083E-01  9.009E-02    1515 A       696 A       589 A   
  25.00E3 keV   4.282E-01  8.546E-02    1673 A       740 A       635 A   
  27.50E3 keV   4.458E-01  8.136E-02    1830 A       782 A       678 A   
  30.00E3 keV   4.619E-01  7.770E-02    1986 A       821 A       719 A   
  32.50E3 keV   4.773E-01  7.440E-02    2140 A       858 A       758 A   
  35.00E3 keV   4.928E-01  7.142E-02    2292 A       893 A       796 A   
  37.50E3 keV   5.088E-01  6.870E-02    2443 A       926 A       833 A   
  40.00E3 keV   5.254E-01  6.621E-02    2592 A       958 A       868 A   
  45.00E3 keV   5.597E-01  6.182E-02    2882 A      1015 A       935 A   
  50.00E3 keV   5.940E-01  5.805E-02    3163 A      1067 A       997 A   
  55.00E3 keV   6.273E-01  5.478E-02    3435 A      1113 A      1054 A   
  60.00E3 keV   6.592E-01  5.191E-02    3699 A      1156 A      1108 A   
  65.00E3 keV   6.898E-01  4.936E-02    3955 A      1194 A      1157 A   
  70.00E3 keV   7.190E-01  4.709E-02    4204 A      1229 A      1204 A   
  80.00E3 keV   7.739E-01  4.319E-02    4683 A      1292 A      1289 A   
  90.00E3 keV   8.248E-01  3.996E-02    5140 A      1347 A      1365 A   
 100.00E3 keV   8.723E-01  3.723E-02    5578 A      1394 A      1434 A   
 110.00E3 keV   9.171E-01  3.490E-02    5999 A      1436 A      1496 A   
 120.00E3 keV   9.593E-01  3.287E-02    6405 A      1474 A      1554 A   
 130.00E3 keV   9.994E-01  3.110E-02    6798 A      1507 A      1606 A   
 140.00E3 keV   1.038E+00  2.952E-02    7180 A      1538 A      1655 A   
 150.00E3 keV   1.074E+00  2.812E-02    7551 A      1566 A      1701 A   
 160.00E3 keV   1.109E+00  2.686E-02    7911 A      1591 A      1743 A   
 170.00E3 keV   1.142E+00  2.572E-02    8263 A      1615 A      1783 A   
 180.00E3 keV   1.174E+00  2.468E-02    8607 A      1637 A      1821 A   
 200.00E3 keV   1.235E+00  2.287E-02    9273 A      1677 A      1890 A   
 225.00E3 keV   1.305E+00  2.098E-02    1.01 um     1722 A      1967 A   
 250.00E3 keV   1.369E+00  1.940E-02    1.08 um     1760 A      2035 A   
 275.00E3 keV   1.428E+00  1.807E-02    1.16 um     1794 A      2097 A   
 300.00E3 keV   1.483E+00  1.693E-02    1.23 um     1824 A      2154 A   
 325.00E3 keV   1.534E+00  1.593E-02    1.30 um     1851 A      2205 A   
 350.00E3 keV   1.582E+00  1.506E-02    1.36 um     1876 A      2253 A   
 375.00E3 keV   1.626E+00  1.428E-02    1.43 um     1898 A      2297 A   
 400.00E3 keV   1.668E+00  1.359E-02    1.49 um     1919 A      2338 A   
 450.00E3 keV   1.743E+00  1.241E-02    1.61 um     1960 A      2414 A   
 500.00E3 keV   1.810E+00  1.143E-02    1.73 um     1995 A      2481 A   
 550.00E3 keV   1.869E+00  1.061E-02    1.84 um     2027 A      2542 A   
 600.00E3 keV   1.921E+00  9.908E-03    1.96 um     2056 A      2598 A   
 650.00E3 keV   1.967E+00  9.301E-03    2.06 um     2082 A      2650 A   
 700.00E3 keV   2.008E+00  8.769E-03    2.17 um     2106 A      2698 A   
 800.00E3 keV   2.076E+00  7.882E-03    2.38 um     2159 A      2786 A   
 900.00E3 keV   2.130E+00  7.171E-03    2.58 um     2207 A      2865 A   
   1.00E6 MeV   2.171E+00  6.586E-03    2.78 um     2251 A      2937 A   
   1.10E6 MeV   2.203E+00  6.096E-03    2.97 um     2291 A      3003 A   
   1.20E6 MeV   2.226E+00  5.679E-03    3.17 um     2328 A      3066 A   
   1.30E6 MeV   2.243E+00  5.319E-03    3.36 um     2364 A      3125 A   
   1.40E6 MeV   2.254E+00  5.006E-03    3.55 um     2398 A      3181 A   
   1.50E6 MeV   2.260E+00  4.730E-03    3.74 um     2431 A      3234 A   
   1.60E6 MeV   2.262E+00  4.485E-03    3.93 um     2463 A      3286 A   
   1.70E6 MeV   2.261E+00  4.266E-03    4.12 um     2494 A      3336 A   
   1.80E6 MeV   2.257E+00  4.068E-03    4.30 um     2524 A      3385 A   
   2.00E6 MeV   2.243E+00  3.728E-03    4.69 um     2611 A      3479 A   
   2.25E6 MeV   2.216E+00  3.379E-03    5.17 um     2732 A      3591 A   
   2.50E6 MeV   2.182E+00  3.094E-03    5.65 um     2851 A      3700 A   
   2.75E6 MeV   2.144E+00  2.856E-03    6.15 um     2967 A      3806 A   
   3.00E6 MeV   2.104E+00  2.654E-03    6.65 um     3082 A      3911 A   
   3.25E6 MeV   2.062E+00  2.481E-03    7.17 um     3197 A      4015 A   
   3.50E6 MeV   2.021E+00  2.330E-03    7.70 um     3311 A      4119 A   
   3.75E6 MeV   1.979E+00  2.198E-03    8.23 um     3426 A      4223 A   
   4.00E6 MeV   1.938E+00  2.081E-03    8.78 um     3542 A      4327 A   
   4.50E6 MeV   1.859E+00  1.882E-03    9.91 um     3940 A      4538 A   
   5.00E6 MeV   1.784E+00  1.720E-03   11.09 um     4331 A      4754 A   
   5.50E6 MeV   1.714E+00  1.586E-03   12.32 um     4719 A      4975 A   
   6.00E6 MeV   1.648E+00  1.472E-03   13.60 um     5105 A      5202 A   
   6.50E6 MeV   1.588E+00  1.374E-03   14.93 um     5491 A      5436 A   
   7.00E6 MeV   1.531E+00  1.289E-03   16.31 um     5879 A      5677 A   
   8.00E6 MeV   1.430E+00  1.149E-03   19.22 um     7266 A      6183 A   
   9.00E6 MeV   1.341E+00  1.037E-03   22.32 um     8581 A      6719 A   
  10.00E6 MeV   1.264E+00  9.467E-04   25.63 um     9862 A      7289 A   
  11.00E6 MeV   1.195E+00  8.714E-04   29.13 um     1.11 um     7890 A   
  12.00E6 MeV   1.135E+00  8.078E-04   32.82 um     1.24 um     8523 A   
  13.00E6 MeV   1.080E+00  7.534E-04   36.71 um     1.36 um     9188 A   
  14.00E6 MeV   1.031E+00  7.061E-04   40.78 um     1.49 um     9884 A   
  15.00E6 MeV   9.867E-01  6.648E-04   45.05 um     1.62 um     1.06 um  
  16.00E6 MeV   9.420E-01  6.283E-04   49.51 um     1.75 um     1.14 um  
  17.00E6 MeV   8.986E-01  5.957E-04   54.19 um     1.88 um     1.22 um  
  18.00E6 MeV   8.633E-01  5.666E-04   59.07 um     2.02 um     1.30 um  
  20.00E6 MeV   8.014E-01  5.165E-04   69.42 um     2.51 um     1.47 um  
  22.50E6 MeV   7.368E-01  4.656E-04   83.43 um     3.23 um     1.71 um  
  25.00E6 MeV   6.829E-01  4.243E-04   98.60 um     3.90 um     1.97 um  
  27.50E6 MeV   6.372E-01  3.900E-04  114.91 um     4.56 um     2.24 um  
  30.00E6 MeV   5.979E-01  3.611E-04  132.35 um     5.21 um     2.53 um  
  32.50E6 MeV   5.636E-01  3.364E-04  150.88 um     5.87 um     2.84 um  
  35.00E6 MeV   5.335E-01  3.150E-04  170.51 um     6.52 um     3.17 um  
  37.50E6 MeV   5.068E-01  2.963E-04  191.20 um     7.18 um     3.51 um  
  40.00E6 MeV   4.829E-01  2.798E-04  212.96 um     7.85 um     3.87 um  
  45.00E6 MeV   4.419E-01  2.519E-04  259.55 um    10.32 um     4.63 um  
  50.00E6 MeV   4.080E-01  2.293E-04  310.24 um    12.64 um     5.46 um  
  55.00E6 MeV   3.795E-01  2.106E-04  364.95 um    14.89 um     6.35 um  
  60.00E6 MeV   3.550E-01  1.949E-04  423.60 um    17.12 um     7.30 um  
  65.00E6 MeV   3.338E-01  1.814E-04  486.12 um    19.36 um     8.30 um  
  70.00E6 MeV   3.153E-01  1.698E-04  552.47 um    21.60 um     9.36 um  
  80.00E6 MeV   2.843E-01  1.506E-04  696.30 um    29.84 um    11.65 um  
  90.00E6 MeV   2.594E-01  1.355E-04  854.86 um    37.50 um    14.16 um  
 100.00E6 MeV   2.389E-01  1.233E-04    1.03 mm    44.96 um    16.88 um  
 110.00E6 MeV   2.217E-01  1.131E-04    1.21 mm    52.37 um    19.80 um  
 120.00E6 MeV   2.070E-01  1.046E-04    1.42 mm    59.81 um    22.92 um  
 130.00E6 MeV   1.944E-01  9.731E-05    1.63 mm    67.30 um    26.24 um  
 140.00E6 MeV   1.834E-01  9.102E-05    1.86 mm    74.89 um    29.75 um  
 150.00E6 MeV   1.736E-01  8.552E-05    2.10 mm    82.57 um    33.45 um  
 160.00E6 MeV   1.650E-01  8.067E-05    2.35 mm    90.35 um    37.33 um  
 170.00E6 MeV   1.573E-01  7.637E-05    2.62 mm    98.25 um    41.40 um  
 180.00E6 MeV   1.504E-01  7.252E-05    2.90 mm   106.26 um    45.65 um  
 200.00E6 MeV   1.383E-01  6.592E-05    3.50 mm   136.35 um    54.68 um  
 225.00E6 MeV   1.261E-01  5.924E-05    4.31 mm   179.33 um    66.94 um  
 250.00E6 MeV   1.160E-01  5.384E-05    5.20 mm   219.92 um    80.24 um  
 275.00E6 MeV   1.076E-01  4.937E-05    6.17 mm   259.57 um    94.56 um  
 300.00E6 MeV   1.005E-01  4.562E-05    7.20 mm   298.92 um   109.86 um  
 325.00E6 MeV   9.444E-02  4.241E-05    8.31 mm   338.29 um   126.11 um  
 350.00E6 MeV   8.914E-02  3.964E-05    9.48 mm   377.87 um   143.29 um  
 375.00E6 MeV   8.449E-02  3.723E-05   10.72 mm   417.75 um   161.38 um  
 400.00E6 MeV   8.038E-02  3.510E-05   12.03 mm   458.01 um   180.35 um  
 450.00E6 MeV   7.341E-02  3.152E-05   14.83 mm   608.07 um   220.88 um  
 500.00E6 MeV   6.774E-02  2.863E-05   17.88 mm   748.21 um   264.71 um  
 550.00E6 MeV   6.303E-02  2.624E-05   21.18 mm   884.03 um   311.69 um  
 600.00E6 MeV   5.905E-02  2.423E-05   24.71 mm     1.02 mm   361.68 um  
 650.00E6 MeV   5.565E-02  2.252E-05   28.46 mm     1.15 mm   414.58 um  
 700.00E6 MeV   5.270E-02  2.104E-05   32.44 mm     1.28 mm   470.25 um  
 800.00E6 MeV   4.784E-02  1.862E-05   41.02 mm     1.77 mm   589.51 um  
 900.00E6 MeV   4.399E-02  1.671E-05   50.41 mm     2.22 mm   718.65 um  
   1.00E9 GeV   4.088E-02  1.517E-05   60.56 mm     2.65 mm   856.96 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  1.8441E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler

