             SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 09, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Lithium in Silicon.txt

 Ion = Lithium [3] , Mass = 7.016 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    2.971E-03  1.142E-02       2 A         2 A         1 A   
    1.2 eV    2.971E-03  1.202E-02       2 A         2 A         2 A   
    1.3 eV    3.092E-03  1.261E-02       2 A         2 A         2 A   
    1.4 eV    3.209E-03  1.317E-02       2 A         2 A         2 A   
    1.5 eV    3.321E-03  1.372E-02       2 A         2 A         2 A   
    1.6 eV    3.430E-03  1.425E-02       2 A         2 A         2 A   
    1.7 eV    3.536E-03  1.476E-02       2 A         2 A         2 A   
    1.8 eV    3.638E-03  1.526E-02       2 A         2 A         2 A   
      2 eV    3.835E-03  1.622E-02       2 A         3 A         2 A   
   2.25 eV    4.068E-03  1.736E-02       2 A         3 A         2 A   
 2.49999 eV    4.288E-03  1.843E-02       2 A         3 A         2 A   
 2.74999 eV    4.497E-03  1.945E-02       2 A         3 A         2 A   
 2.99999 eV    4.697E-03  2.043E-02       2 A         3 A         2 A   
 3.24999 eV    4.889E-03  2.136E-02       3 A         3 A         2 A   
 3.49999 eV    5.074E-03  2.225E-02       3 A         3 A         3 A   
 3.74999 eV    5.252E-03  2.312E-02       3 A         4 A         3 A   
 3.99999 eV    5.424E-03  2.395E-02       3 A         4 A         3 A   
 4.49999 eV    5.753E-03  2.554E-02       3 A         4 A         3 A   
 4.99999 eV    6.064E-03  2.703E-02       3 A         4 A         3 A   
 5.49999 eV    6.360E-03  2.844E-02       3 A         4 A         3 A   
